Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2020-08-18 12:00:00,2.09,4.44,2.0,3.1,6039881.97,18375373.392336
2020-08-19 00:00:00,3.1,3.1999,2.64,3.0,11948401.04,35962172.923338
2020-08-19 12:00:00,3.0,3.035,2.72,2.95,3947373.88,11596148.709916
2020-08-20 00:00:00,2.9449,2.999,2.6759,2.8715,3944072.29,11111968.712245
2020-08-20 12:00:00,2.8715,3.1111,2.6,2.9,7096791.31,20345442.154572
2020-08-21 00:00:00,2.8978,3.09,2.6826,2.8951,5805885.5,16875019.88449
2020-08-21 12:00:00,2.8954,3.028,2.82,2.833,3959268.24,11518515.968994
2020-08-22 00:00:00,2.8387,4.019,2.782,3.8153,18773650.87,66585095.406322
2020-08-22 12:00:00,3.8205,4.55,3.501,4.4546,22837825.64,91453803.35877
2020-08-23 00:00:00,4.4756,4.4864,3.717,3.7399,12580416.39,51720154.366369
2020-08-23 12:00:00,3.7418,4.1285,3.7032,3.9779,11264893.26,43708831.895296
2020-08-24 00:00:00,3.9805,4.1601,3.78,4.1541,10024647.58,39976835.629139
2020-08-24 12:00:00,4.1541,4.7983,4.1,4.5759,15819305.54,69869753.026574
2020-08-25 00:00:00,4.5759,4.9947,4.48,4.9248,15456891.35,73777311.338558
2020-08-25 12:00:00,4.9301,5.77,4.6188,5.5412,24000478.64,124851753.121533
2020-08-26 00:00:00,5.5412,5.7432,5.1015,5.421,15001042.14,81756853.467805
2020-08-26 12:00:00,5.4255,6.57,5.3359,6.0708,22810477.6,139007456.500181
2020-08-27 00:00:00,6.0708,6.8,5.6055,5.7465,21641181.37,134600010.769941
2020-08-27 12:00:00,5.7465,6.33,5.2001,5.6547,20985155.05,119944757.978377
2020-08-28 00:00:00,5.6569,6.1184,5.462,5.7313,11497191.39,66485281.974969
2020-08-28 12:00:00,5.7312,6.35,5.7053,6.1812,12521981.24,76797712.43819
2020-08-29 00:00:00,6.1769,6.556,6.0032,6.286,8255482.19,51914815.50167
2020-08-29 12:00:00,6.286,6.51,6.074,6.1333,7104962.77,44823308.605672
2020-08-30 00:00:00,6.1339,6.251,5.889,6.0526,6876801.01,41492175.206791
2020-08-30 12:00:00,6.0507,6.12,5.6999,5.8912,6389734.9,37811966.487089
2020-08-31 00:00:00,5.8875,6.0384,5.7541,5.9297,4350473.36,25655213.441426
2020-08-31 12:00:00,5.9338,6.4662,5.8255,6.2718,9213574.35,57522899.901059
2020-09-01 00:00:00,6.2712,6.8619,6.12,6.375,9917825.53,64897455.950009
2020-09-01 12:00:00,6.3751,6.62,6.1822,6.239,6412439.29,40754954.619895
2020-09-02 00:00:00,6.24,6.4472,5.58,5.9395,8249948.51,50074288.177312
