Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2017-08-17 00:00:00,301.13,312.0,298.0,308.95,2739.66393,838032.98152
2017-08-17 12:00:00,308.95,312.18,298.21,302.0,4291.04641,1316622.3188366
2017-08-18 00:00:00,302.0,311.79,295.19,307.78,4636.12218,1410706.6750019
2017-08-18 12:00:00,307.78,310.29,283.94,293.96,4901.72428,1448239.834352
2017-08-19 00:00:00,293.31,299.9,278.0,282.58,1656.51552,479411.6813054
2017-08-19 12:00:00,281.39,295.0,279.56,290.91,489.68221,140610.9085563
2017-08-20 00:00:00,289.41,296.89,282.85,295.0,561.42288,163304.5767391
2017-08-20 12:00:00,295.0,300.53,292.28,299.1,1948.71583,579543.3178208
2017-08-21 00:00:00,299.1,333.66,294.6,331.53,1819.75394,558602.982907
2017-08-21 12:00:00,331.33,346.52,316.12,323.29,3399.69148,1130869.358307
2017-08-22 00:00:00,321.04,330.41,144.21,308.03,3693.21278,1134089.782626
2017-08-22 12:00:00,311.16,320.76,301.48,309.8,4263.1381,1320336.0206877
2017-08-23 00:00:00,312.25,324.99,309.41,319.2,3750.27071,1194503.9348162
2017-08-23 12:00:00,319.2,322.34,312.05,315.74,4915.45498,1558961.0102246
2017-08-24 00:00:00,315.74,323.61,314.01,323.61,3805.75309,1210079.436949
2017-08-24 12:00:00,322.51,328.04,317.9,323.42,2947.51883,949337.6772047
2017-08-25 00:00:00,323.42,335.41,323.42,331.26,3721.88146,1224888.4261474
2017-08-25 12:00:00,329.68,338.28,324.9,327.24,3404.08816,1129273.6121466
2017-08-26 00:00:00,327.24,332.27,323.41,327.89,2496.81751,816723.1971088
2017-08-26 12:00:00,328.25,335.44,324.06,330.79,2380.8677,785271.1802078
2017-08-27 00:00:00,332.18,338.42,330.73,333.94,2603.03903,869934.5224018
2017-08-27 12:00:00,333.93,348.13,331.88,348.13,2032.39812,684542.8357585
2017-08-28 00:00:00,348.11,351.0,331.95,341.9,2516.63087,857873.6349725
2017-08-28 12:00:00,339.62,348.5,339.34,346.0,1762.55083,605884.5341316
2017-08-29 00:00:00,347.0,367.13,346.0,356.75,1121.91324,400325.239691
2017-08-29 12:00:00,358.1,377.6,358.1,374.7,1910.22101,701744.3808899
2017-08-30 00:00:00,374.7,393.71,362.05,375.9,2146.65871,801983.8038876
2017-08-30 12:00:00,373.01,389.8,370.49,385.93,2299.93737,877542.4086239
2017-08-31 00:00:00,384.64,387.42,377.78,387.42,1947.44079,744209.0961046
2017-08-31 12:00:00,385.82,389.36,383.13,384.79,2488.42776,960232.298162
2017-09-01 00:00:00,386.44,394.39,383.18,389.64,2371.73995,923876.8635907
2017-09-01 12:00:00,389.56,394.02,385.88,388.46,1826.94439,711350.7501754
2017-09-02 00:00:00,388.58,394.32,347.0,357.0,4119.23333,1508549.1521963
2017-09-02 12:00:00,358.25,360.28,320.08,343.14,4121.09391,1395459.3091898
2017-09-03 00:00:00,343.56,367.28,334.75,336.54,2912.04955,1020332.8556308
2017-09-03 12:00:00,337.69,348.22,320.08,341.77,2341.57256,781369.7621721
2017-09-04 00:00:00,339.29,344.55,270.0,289.93,3963.20175,1212881.5223337
2017-09-04 12:00:00,286.35,312.92,267.94,283.77,2774.60886,789564.6594683
2017-09-05 00:00:00,286.81,299.64,235.55,295.98,5641.39295,1574489.9496105
2017-09-05 12:00:00,295.79,321.52,285.94,312.09,2703.02629,823000.9682281
2017-09-06 00:00:00,313.29,335.02,312.09,335.02,3557.6393,1157354.2909166
2017-09-06 12:00:00,331.73,336.34,321.01,335.0,1928.67058,636608.5675828
2017-09-07 00:00:00,335.01,335.01,320.17,329.94,1423.38796,465278.0283551
2017-09-07 12:00:00,329.94,342.5,327.79,334.49,1680.50949,561857.6585973
2017-09-08 00:00:00,334.49,335.1,324.72,331.53,966.54762,319793.2036454
2017-09-08 12:00:00,330.1,331.57,272.0,302.99,3949.20931,1174516.6829709
2017-09-09 00:00:00,300.01,306.42,281.66,303.0,1498.5124,443982.0248349
2017-09-09 12:00:00,300.83,307.0,285.17,296.74,1242.07582,369768.334101
2017-09-10 00:00:00,296.72,299.0,261.03,280.22,2744.74368,771622.0872882
2017-09-10 12:00:00,281.8,302.78,279.98,293.5,1411.70731,410281.6849117
2017-09-11 00:00:00,293.51,304.98,285.21,294.46,3875.70311,1152971.2229587
2017-09-11 12:00:00,293.44,301.99,292.16,297.3,953.94336,283840.5931982
2017-09-12 00:00:00,297.78,316.46,297.51,310.95,2918.94945,893541.5350673
2017-09-12 12:00:00,311.25,311.81,286.01,293.96,2257.36457,679910.8773846
2017-09-13 00:00:00,293.93,294.5,262.0,263.84,3306.89771,915416.2226147
2017-09-13 12:00:00,263.26,282.77,257.05,276.91,3144.33065,845664.6749922
2017-09-14 00:00:00,275.76,283.77,238.34,238.39,4860.32397,1278145.7415424
2017-09-14 12:00:00,238.43,253.01,215.0,215.21,7741.63279,1832622.0390223
2017-09-15 00:00:00,217.0,243.96,192.0,199.28,6858.00037,1502123.6829707
2017-09-15 12:00:00,199.28,270.93,195.09,253.0,7365.89493,1817188.1437643
2017-09-16 00:00:00,255.99,271.81,235.51,249.99,7262.42164,1876426.5179902
2017-09-16 12:00:00,249.99,258.19,242.3,249.31,3099.63847,770725.8543806
2017-09-17 00:00:00,249.32,252.54,239.02,242.84,2461.11162,602384.1913034
2017-09-17 12:00:00,241.27,264.39,240.05,257.55,2153.42175,547320.103626
2017-09-18 00:00:00,257.53,299.0,257.11,288.88,2550.96402,718004.327447
2017-09-18 12:00:00,288.88,306.22,285.06,294.57,1575.00649,464933.306127
2017-09-19 00:00:00,296.0,300.0,277.41,289.0,1136.44853,326371.1670588
2017-09-19 12:00:00,286.0,290.0,278.0,284.0,733.45999,209402.3981413
2017-09-20 00:00:00,284.01,288.0,275.91,284.05,546.06893,154139.3085289
2017-09-20 12:00:00,283.99,294.0,282.0,282.0,514.49841,148600.4252242
2017-09-21 00:00:00,285.1,287.0,278.05,282.83,492.7706,138891.8821714
2017-09-21 12:00:00,282.65,284.11,252.1,257.0,1419.78523,377301.3148894
2017-09-22 00:00:00,258.0,272.97,253.5,254.22,867.55184,228728.4022905
2017-09-22 12:00:00,256.36,266.61,253.01,264.0,596.96066,154233.8156525
2017-09-23 00:00:00,259.99,282.83,255.11,282.8,537.2813,144670.2839868
2017-09-23 12:00:00,282.8,286.23,275.55,285.93,2287.05442,644140.0404371
2017-09-24 00:00:00,286.5,294.61,275.0,280.47,3528.05602,1001036.0891919
2017-09-24 12:00:00,280.51,288.18,277.06,282.0,2047.4882,581841.397941
2017-09-25 00:00:00,282.0,291.3,281.34,288.13,2970.55986,854539.2268724
2017-09-25 12:00:00,288.0,299.0,287.0,294.42,2899.92049,851012.7652294
