Fecha,Abre,Alto,Bajo,Cierra,Volumen
2020-08-11 00:00:00,2.85,3.47,2.8433,3.0497,151914.09
2020-08-11 12:00:00,3.0497,3.5208,2.8625,3.2985,1400470.69
2020-08-12 00:00:00,3.2985,3.9289,3.08,3.6842,1209918.28
2020-08-12 12:00:00,3.6733,3.9,3.6,3.7558,527124.67
2020-08-13 00:00:00,3.75,4.1387,3.5003,3.87,1069324.61
2020-08-13 12:00:00,3.87,4.0555,3.5385,3.73,616434.63
2020-08-14 00:00:00,3.7207,3.7676,3.4267,3.7173,785009.66
2020-08-14 12:00:00,3.7036,3.7133,3.321,3.4099,689152.13
2020-08-15 00:00:00,3.4181,3.74,3.163,3.45,782876.01
2020-08-15 12:00:00,3.4527,3.4852,3.15,3.173,287357.19
2020-08-16 00:00:00,3.173,3.4907,3.12,3.4193,478096.8
2020-08-16 12:00:00,3.4193,3.4726,3.34,3.3885,190009.73
2020-08-17 00:00:00,3.3885,3.3952,3.2,3.2891,361359.58
2020-08-17 12:00:00,3.2891,3.2934,3.1,3.11,368054.06
2020-08-18 00:00:00,3.11,3.25,2.878,3.0672,769476.98
2020-08-18 12:00:00,3.0501,3.7092,2.8105,3.3407,1943638.96
2020-08-19 00:00:00,3.334,3.49,2.8,3.01,883814.69
2020-08-19 12:00:00,3.01,3.1307,2.82,2.8868,549429.07
2020-08-20 00:00:00,2.8962,3.1898,2.8871,3.1508,457463.61
2020-08-20 12:00:00,3.151,3.445,3.109,3.2038,820363.71
2020-08-21 00:00:00,3.2038,3.24,3.0,3.0918,647127.51
2020-08-21 12:00:00,3.0918,3.1636,2.89,2.9317,484768.39
2020-08-22 00:00:00,2.9213,2.9386,2.7431,2.8599,594906.21
2020-08-22 12:00:00,2.8599,3.2,2.8586,3.0126,574511.57
2020-08-23 00:00:00,3.0224,3.2857,3.0014,3.034,480957.17
2020-08-23 12:00:00,3.034,3.4,3.0073,3.25,717079.52
2020-08-24 00:00:00,3.2658,3.62,3.2144,3.4632,747001.04
2020-08-24 12:00:00,3.4707,3.5727,3.21,3.3405,568195.02
2020-08-25 00:00:00,3.3406,3.3654,3.0601,3.18,538772.92
2020-08-25 12:00:00,3.18,3.2854,3.0001,3.25,610414.45
2020-08-26 00:00:00,3.2576,3.614,3.1809,3.605,1105073.79
2020-08-26 12:00:00,3.605,3.7999,3.4097,3.5684,1184956.77
2020-08-27 00:00:00,3.5557,3.8575,3.3,3.4078,1334923.25
2020-08-27 12:00:00,3.4078,3.8,3.2434,3.4501,1078051.55
2020-08-28 00:00:00,3.4503,3.95,3.4503,3.9479,1087248.38
2020-08-28 12:00:00,3.9444,4.3091,3.8128,4.0063,1494688.46
2020-08-29 00:00:00,4.007,4.1121,3.7748,3.8989,730355.26
2020-08-29 12:00:00,3.8989,4.1119,3.8663,3.9535,612488.94
2020-08-30 00:00:00,3.9531,4.5848,3.9,4.5585,1035193.97
2020-08-30 12:00:00,4.55,4.7117,4.352,4.4309,780488.02
2020-08-31 00:00:00,4.4127,4.551,4.1,4.2768,582825.29
2020-08-31 12:00:00,4.2708,4.8865,4.1439,4.7435,914303.83
2020-09-01 00:00:00,4.7432,4.9475,4.5,4.5225,820009.45
2020-09-01 12:00:00,4.5108,4.6275,4.3,4.3397,447565.31
2020-09-02 00:00:00,4.3213,4.3506,3.66,4.0717,1268822.78
2020-09-02 12:00:00,4.0855,4.195,3.8553,4.17,733235.58
2020-09-03 00:00:00,4.17,4.459,3.8686,4.1181,1361099.05
2020-09-03 12:00:00,4.1083,4.1332,3.4772,3.5051,1914513.21
2020-09-04 00:00:00,3.5062,3.8346,3.4734,3.5727,1180650.99
2020-09-04 12:00:00,3.5704,3.7,3.1739,3.5301,871546.25
2020-09-05 00:00:00,3.5301,3.6637,2.0926,2.4784,2363478.47
2020-09-05 12:00:00,2.4826,2.832,2.2466,2.6052,2062788.91
2020-09-06 00:00:00,2.6119,2.9522,2.2575,2.9485,1895793.73
2020-09-06 12:00:00,2.9485,3.18,2.7661,3.0941,1002965.18
2020-09-07 00:00:00,3.0785,3.1983,2.5,2.53,1161393.52
2020-09-07 12:00:00,2.5395,2.94,2.38,2.9237,1518689.65
2020-09-08 00:00:00,2.9237,2.9499,2.4462,2.4782,777656.24
2020-09-08 12:00:00,2.4635,2.5802,2.4,2.468,848733.46
2020-09-09 00:00:00,2.468,2.7836,2.3821,2.7006,850995.33
2020-09-09 12:00:00,2.7056,3.8838,2.6166,3.6001,5840126.66
2020-09-10 00:00:00,3.6107,3.875,3.304,3.5488,2599749.6
2020-09-10 12:00:00,3.5393,3.85,3.345,3.4761,1757141.06
2020-09-11 00:00:00,3.4707,3.5036,3.0316,3.1152,1428153.99
2020-09-11 12:00:00,3.1101,3.45,3.1069,3.3965,799482.95
2020-09-12 00:00:00,3.3967,3.409,3.1494,3.322,592507.18
2020-09-12 12:00:00,3.32,3.47,3.1918,3.3316,569035.29
2020-09-13 00:00:00,3.3386,3.47,3.145,3.1669,1248924.93
2020-09-13 12:00:00,3.1633,3.2711,2.9838,3.2603,775854.48
2020-09-14 00:00:00,3.2656,3.5393,3.0752,3.376,2021264.61
2020-09-14 12:00:00,3.3759,3.4888,3.24,3.2641,1330385.0
2020-09-15 00:00:00,3.264,3.3249,3.1251,3.2435,732939.61
2020-09-15 12:00:00,3.2351,3.3,2.8955,2.9295,965451.48
2020-09-16 00:00:00,2.9288,2.9293,2.5,2.5883,2537386.84
2020-09-16 12:00:00,2.5806,2.6657,2.4282,2.5327,2349380.15
2020-09-17 00:00:00,2.5376,2.6997,2.36,2.5449,2465072.15
2020-09-17 12:00:00,2.537,2.9389,2.5051,2.8829,2170675.16
2020-09-18 00:00:00,2.883,3.16,2.726,3.0647,1941566.09
2020-09-18 12:00:00,3.0705,3.1588,2.8,3.1144,2227880.14
2020-09-19 00:00:00,3.1084,3.2545,2.9564,3.0454,855861.73
2020-09-19 12:00:00,3.0461,3.1851,2.9668,3.031,730358.13
2020-09-20 00:00:00,3.0216,3.0319,2.8625,2.9621,714595.84
2020-09-20 12:00:00,2.9713,2.9756,2.7,2.8628,742032.74
2020-09-21 00:00:00,2.8628,3.0397,2.4689,2.6194,2000837.4
2020-09-21 12:00:00,2.6114,2.8856,2.5,2.7672,1567041.91
2020-09-22 00:00:00,2.7571,2.9817,2.65,2.8184,1798429.6
2020-09-22 12:00:00,2.8082,3.0107,2.7886,2.9082,1618356.73
2020-09-23 00:00:00,2.9184,3.09,2.73,2.9251,1559543.83
2020-09-23 12:00:00,2.925,3.0,2.7001,2.8548,1202607.13
2020-09-24 00:00:00,2.855,3.0402,2.7804,3.0101,1335501.27
2020-09-24 12:00:00,3.012,3.2571,2.8901,3.1433,1648199.77
2020-09-25 00:00:00,3.1409,3.1807,2.9003,3.03,1401946.4
2020-09-25 12:00:00,3.03,3.2766,2.9806,3.1937,1045896.82
2020-09-26 00:00:00,3.185,3.25,3.0718,3.1494,802224.03
2020-09-26 12:00:00,3.1435,3.1571,3.03,3.1287,554794.69
2020-09-27 00:00:00,3.1292,3.1848,2.9819,3.0632,495784.78
2020-09-27 12:00:00,3.0564,3.1857,3.0401,3.1578,488031.08
2020-09-28 00:00:00,3.1557,3.2109,3.021,3.0358,658629.23
2020-09-28 12:00:00,3.0358,3.0823,2.908,2.9599,647504.92
2020-09-29 00:00:00,2.9549,3.027,2.91,2.9909,395052.71
2020-09-29 12:00:00,2.991,3.019,2.8735,2.9505,555822.85
2020-09-30 00:00:00,2.9447,2.9838,2.8449,2.8504,452544.59
2020-09-30 12:00:00,2.845,2.9079,2.8228,2.8967,270213.24
2020-10-01 00:00:00,2.8967,2.9889,2.8925,2.9516,387200.56
2020-10-01 12:00:00,2.9563,2.961,2.65,2.8669,985861.03
2020-10-02 00:00:00,2.8667,2.8873,2.42,2.4724,1916627.05
2020-10-02 12:00:00,2.4731,2.6723,2.4482,2.6232,871866.06
2020-10-03 00:00:00,2.6231,2.6656,2.6037,2.6633,313657.56
2020-10-03 12:00:00,2.6654,2.6708,2.5356,2.5439,233367.67
2020-10-04 00:00:00,2.542,2.5898,2.4511,2.5377,343792.84
2020-10-04 12:00:00,2.5322,2.5424,2.42,2.5202,421606.37
2020-10-05 00:00:00,2.5181,2.5694,2.4561,2.5282,417094.12
2020-10-05 12:00:00,2.5224,2.683,2.52,2.6522,495493.05
2020-10-06 00:00:00,2.6486,2.6604,2.366,2.3974,602573.61
2020-10-06 12:00:00,2.3938,2.499,2.13,2.174,1181451.72
2020-10-07 00:00:00,2.1721,2.3066,2.081,2.2119,1182610.04
2020-10-07 12:00:00,2.2118,2.4083,2.2118,2.3005,905341.16
2020-10-08 00:00:00,2.3001,2.3133,2.0123,2.1653,1374409.82
2020-10-08 12:00:00,2.1679,2.4569,2.1494,2.3638,1384780.12
2020-10-09 00:00:00,2.3686,2.625,2.303,2.5417,1190744.13
2020-10-09 12:00:00,2.5465,2.63,2.4671,2.5314,687779.66
2020-10-10 00:00:00,2.5274,2.6056,2.47,2.5026,748950.72
2020-10-10 12:00:00,2.4957,2.5485,2.3873,2.3999,529989.55
2020-10-11 00:00:00,2.3988,2.4607,2.3401,2.4562,553014.28
2020-10-11 12:00:00,2.4535,2.46,2.3775,2.4227,345749.8
2020-10-12 00:00:00,2.4228,2.6,2.4132,2.4704,896356.69
2020-10-12 12:00:00,2.471,2.7044,2.4662,2.5836,1259030.32
2020-10-13 00:00:00,2.5826,2.5867,2.4443,2.5068,918665.36
2020-10-13 12:00:00,2.5068,2.555,2.336,2.4062,1032365.74
2020-10-14 00:00:00,2.4061,2.4424,2.3429,2.345,484035.92
2020-10-14 12:00:00,2.3442,2.3977,2.2331,2.3107,641349.93
2020-10-15 00:00:00,2.3108,2.3485,2.1932,2.2439,506725.01
2020-10-15 12:00:00,2.2456,2.3073,2.228,2.2682,248184.08
2020-10-16 00:00:00,2.2648,2.269,2.1071,2.1739,679191.15
2020-10-16 12:00:00,2.1745,2.253,2.1334,2.1398,867458.98
2020-10-17 00:00:00,2.1374,2.2462,2.1107,2.2145,307108.97
2020-10-17 12:00:00,2.2121,2.2339,2.1573,2.2053,175140.58
2020-10-18 00:00:00,2.2031,2.248,2.1897,2.1989,133190.16
2020-10-18 12:00:00,2.1998,2.2595,2.1763,2.215,345731.1
2020-10-19 00:00:00,2.2137,2.2148,2.05,2.0643,499034.8
2020-10-19 12:00:00,2.0629,2.1149,2.0512,2.0592,410182.39
2020-10-20 00:00:00,2.0552,2.108,1.8401,1.8505,997670.09
2020-10-20 12:00:00,1.8506,1.9739,1.8486,1.885,935496.95
2020-10-21 00:00:00,1.8873,2.0,1.8812,1.9182,383776.26
2020-10-21 12:00:00,1.9193,2.11,1.8415,1.8887,2838948.49
2020-10-22 00:00:00,1.8868,2.0736,1.8481,2.0688,977646.86
2020-10-22 12:00:00,2.0688,2.09,1.9392,1.9582,647131.23
2020-10-23 00:00:00,1.9566,1.9874,1.9073,1.9544,470661.05
2020-10-23 12:00:00,1.9524,1.9902,1.85,1.959,1089331.3
2020-10-24 00:00:00,1.9652,1.9663,1.899,1.9278,335512.41
2020-10-24 12:00:00,1.9278,1.973,1.88,1.9142,412581.42
2020-10-25 00:00:00,1.9175,1.9244,1.8001,1.8779,689460.99
2020-10-25 12:00:00,1.8737,1.895,1.76,1.7926,676405.0
2020-10-26 00:00:00,1.7925,1.8525,1.775,1.8434,446404.6
2020-10-26 12:00:00,1.8417,1.8685,1.6121,1.6799,1575467.24
2020-10-27 00:00:00,1.6771,1.715,1.5906,1.6849,1511284.98
2020-10-27 12:00:00,1.6861,1.75,1.6717,1.711,1079865.28
2020-10-28 00:00:00,1.7084,1.7255,1.4508,1.5563,2197582.07
2020-10-28 12:00:00,1.5542,1.6344,1.4669,1.518,1157036.21
2020-10-29 00:00:00,1.5166,1.5754,1.496,1.4971,426685.57
2020-10-29 12:00:00,1.4954,1.5265,1.4148,1.4327,806942.48
2020-10-30 00:00:00,1.4328,1.4583,1.3163,1.3791,859052.73
2020-10-30 12:00:00,1.3792,1.4726,1.3751,1.4381,542575.36
2020-10-31 00:00:00,1.4383,1.5193,1.4266,1.4788,455727.0
2020-10-31 12:00:00,1.4787,1.558,1.4731,1.5497,396262.58
2020-11-01 00:00:00,1.5497,1.5797,1.5137,1.5384,430667.32
2020-11-01 12:00:00,1.5371,1.6463,1.5286,1.608,529996.92
2020-11-02 00:00:00,1.6076,1.6432,1.48,1.4837,574031.97
2020-11-02 12:00:00,1.4866,1.5023,1.4621,1.4738,293706.1
2020-11-03 00:00:00,1.4729,1.484,1.4164,1.4481,483860.47
