Fecha,Abre,Alto,Bajo,Cierra,Volumen
2018-05-04 00:00:00,0.5,1.5,0.5,0.91596,11308597.83
2018-05-04 12:00:00,0.91596,0.9245,0.87644,0.8899,9581615.99
2018-05-05 00:00:00,0.8898,0.90985,0.888,0.90176,7308711.18
2018-05-05 12:00:00,0.90244,0.935,0.89601,0.9028,9507454.12
2018-05-06 00:00:00,0.9028,0.918,0.85,0.8555,10458330.31
2018-05-06 12:00:00,0.85576,0.8715,0.83774,0.86483,5543705.49
2018-05-07 00:00:00,0.86482,0.86886,0.8,0.82,10052658.88
2018-05-07 12:00:00,0.8187,0.8422,0.8,0.8249,7250827.52
2018-05-08 00:00:00,0.8249,0.84802,0.80284,0.80284,6369490.79
2018-05-08 12:00:00,0.80284,0.8158,0.792,0.80667,6601812.39
2018-05-09 00:00:00,0.80667,0.80813,0.7569,0.79683,8722833.12
2018-05-09 12:00:00,0.79683,0.81894,0.7871,0.79481,5259542.77
2018-05-10 00:00:00,0.79481,0.80572,0.78497,0.79552,3948582.02
2018-05-10 12:00:00,0.79552,0.805,0.74085,0.74558,6188313.71
2018-05-11 00:00:00,0.7492,0.75602,0.6511,0.66197,17775093.01
2018-05-11 12:00:00,0.66194,0.70759,0.64758,0.6761,13517387.03
2018-05-12 00:00:00,0.67376,0.705,0.62519,0.69098,9515148.53
2018-05-12 12:00:00,0.69098,0.71,0.654,0.68522,8666002.58
2018-05-13 00:00:00,0.68192,0.69499,0.66456,0.69042,5097029.72
2018-05-13 12:00:00,0.6905,0.7501,0.687,0.72999,12424232.05
2018-05-14 00:00:00,0.72999,0.73247,0.68585,0.718,10426407.38
2018-05-14 12:00:00,0.718,0.7499,0.6905,0.72694,11344957.58
2018-05-15 00:00:00,0.72695,0.74892,0.72367,0.7379,5200639.88
2018-05-15 12:00:00,0.7379,0.74134,0.6801,0.689,7751348.57
2018-05-16 00:00:00,0.689,0.70023,0.65756,0.69128,6342281.08
2018-05-16 12:00:00,0.69294,0.712,0.66861,0.70585,4840151.62
2018-05-17 00:00:00,0.70942,0.712,0.6851,0.69059,5009697.79
2018-05-17 12:00:00,0.68951,0.69854,0.6482,0.65849,5060363.35
2018-05-18 00:00:00,0.65849,0.67479,0.646,0.66875,4345585.91
2018-05-18 12:00:00,0.66801,0.68255,0.65005,0.67766,5795089.22
2018-05-19 00:00:00,0.67698,0.67998,0.6611,0.67996,3326601.55
2018-05-19 12:00:00,0.67998,0.69139,0.6656,0.67339,3527796.2
2018-05-20 00:00:00,0.67483,0.692,0.668,0.68408,3262722.41
2018-05-20 12:00:00,0.68408,0.70659,0.6789,0.6994,4792951.51
2018-05-21 00:00:00,0.6994,0.705,0.68203,0.688,3786823.33
2018-05-21 12:00:00,0.68734,0.69115,0.66666,0.67612,4121390.24
2018-05-22 00:00:00,0.67612,0.67817,0.66283,0.664,2327891.81
2018-05-22 12:00:00,0.664,0.67217,0.635,0.63782,5239118.9
2018-05-23 00:00:00,0.63782,0.64488,0.601,0.61708,7746845.96
2018-05-23 12:00:00,0.61694,0.628,0.5731,0.59198,12331216.25
2018-05-24 00:00:00,0.59053,0.6189,0.57617,0.60205,6763861.12
2018-05-24 12:00:00,0.60299,0.64,0.592,0.62814,7450278.98
2018-05-25 00:00:00,0.62966,0.63391,0.60002,0.6155,7980069.55
2018-05-25 12:00:00,0.61631,0.62,0.59336,0.60459,12080538.36
2018-05-26 00:00:00,0.60596,0.625,0.59771,0.61628,12273462.01
2018-05-26 12:00:00,0.61729,0.62618,0.60234,0.60852,13526604.41
2018-05-27 00:00:00,0.60907,0.648,0.59705,0.60729,12479003.81
2018-05-27 12:00:00,0.60725,0.60944,0.59842,0.60416,11256076.99
2018-05-28 00:00:00,0.60417,0.6091,0.56645,0.56827,15142483.09
2018-05-28 12:00:00,0.56827,0.589,0.5434,0.54689,14712325.02
2018-05-29 00:00:00,0.54689,0.59878,0.54303,0.58999,16055499.12
2018-05-29 12:00:00,0.58999,0.60921,0.5815,0.59998,14892792.1
2018-05-30 00:00:00,0.5997,0.626,0.59681,0.6128,14840465.67
2018-05-30 12:00:00,0.6128,0.6165,0.58101,0.60149,16465147.4
2018-05-31 00:00:00,0.60051,0.617,0.58829,0.61012,14732057.58
2018-05-31 12:00:00,0.61031,0.62255,0.602,0.6114,18847909.31
2018-06-01 00:00:00,0.6114,0.6192,0.606,0.6066,17449735.92
2018-06-01 12:00:00,0.6066,0.62428,0.6024,0.62151,16953625.95
2018-06-02 00:00:00,0.62236,0.65,0.61513,0.646,19110811.73
2018-06-02 12:00:00,0.64599,0.65204,0.636,0.64269,18100720.47
2018-06-03 00:00:00,0.64285,0.67,0.63862,0.66204,17495586.92
2018-06-03 12:00:00,0.66204,0.69101,0.65,0.6901,19647128.61
2018-06-04 00:00:00,0.6901,0.707,0.64019,0.64308,25890537.52
2018-06-04 12:00:00,0.64479,0.67814,0.6351,0.65507,22399445.13
2018-06-05 00:00:00,0.65508,0.665,0.6328,0.662,19962782.09
2018-06-05 12:00:00,0.662,0.686,0.65135,0.67464,22546605.68
2018-06-06 00:00:00,0.67507,0.6833,0.66439,0.67,16380610.81
2018-06-06 12:00:00,0.67,0.68221,0.653,0.6741,17945572.98
2018-06-07 00:00:00,0.6738,0.69,0.67252,0.68081,17875418.54
2018-06-07 12:00:00,0.68034,0.6852,0.67089,0.67756,17156400.5
2018-06-08 00:00:00,0.6777,0.68,0.65832,0.6624,16272701.44
2018-06-08 12:00:00,0.6624,0.678,0.65914,0.6721,15816902.58
2018-06-09 00:00:00,0.67211,0.68,0.6698,0.67189,15408378.47
2018-06-09 12:00:00,0.6719,0.6728,0.65514,0.6574,15914833.37
2018-06-10 00:00:00,0.65687,0.6585,0.61117,0.62167,20773504.98
2018-06-10 12:00:00,0.62114,0.6275,0.55,0.58201,26915101.65
2018-06-11 00:00:00,0.58202,0.5921,0.56,0.57841,17458797.92
2018-06-11 12:00:00,0.57837,0.6,0.56,0.59989,6285531.99
2018-06-12 00:00:00,0.59901,0.5991,0.58072,0.5895,10236804.53
2018-06-12 12:00:00,0.58941,0.58944,0.5415,0.5556,19096146.12
2018-06-13 00:00:00,0.5556,0.56124,0.52,0.53598,17241253.04
2018-06-13 12:00:00,0.53544,0.54898,0.50401,0.52862,19636520.11
2018-06-14 00:00:00,0.52863,0.55699,0.51934,0.55322,14550550.1
2018-06-14 12:00:00,0.55322,0.569,0.52051,0.55769,20449906.4
2018-06-15 00:00:00,0.55765,0.55927,0.5401,0.54617,13394412.5
2018-06-15 12:00:00,0.54551,0.555,0.52447,0.53258,12308085.2
2018-06-16 00:00:00,0.53224,0.5385,0.5255,0.5282,11815452.2
2018-06-16 12:00:00,0.52844,0.53784,0.51733,0.53275,14425128.4
2018-06-17 00:00:00,0.53232,0.5437,0.53,0.53326,15197688.0
2018-06-17 12:00:00,0.53369,0.53393,0.51999,0.52617,18264132.8
2018-06-18 00:00:00,0.52669,0.52724,0.50818,0.51206,15285174.3
2018-06-18 12:00:00,0.51116,0.5535,0.50831,0.5387,18608154.3
2018-06-19 00:00:00,0.53835,0.55,0.5325,0.54551,12314822.5
2018-06-19 12:00:00,0.54682,0.56185,0.5207,0.54834,16542442.8
2018-06-20 00:00:00,0.54833,0.54995,0.52065,0.53043,16933317.1
2018-06-20 12:00:00,0.53093,0.55188,0.526,0.53916,17749781.9
2018-06-21 00:00:00,0.53919,0.549,0.53269,0.53903,15516972.5
2018-06-21 12:00:00,0.53875,0.53989,0.52899,0.53457,14374937.3
2018-06-22 00:00:00,0.5342,0.53506,0.502,0.50853,18721403.9
2018-06-22 12:00:00,0.50847,0.50852,0.46859,0.48216,23121776.81
2018-06-23 00:00:00,0.48287,0.49909,0.47333,0.48681,14059335.4
2018-06-23 12:00:00,0.4855,0.49424,0.47659,0.49005,13171473.3
2018-06-24 00:00:00,0.48963,0.4947,0.443,0.46385,20376838.86
2018-06-24 12:00:00,0.46391,0.51,0.43724,0.47331,21075068.5
2018-06-25 00:00:00,0.47418,0.4918,0.47159,0.48747,13960325.0
2018-06-25 12:00:00,0.48751,0.4992,0.47123,0.48125,17766170.2
2018-06-26 00:00:00,0.48125,0.48241,0.474,0.47879,2156242.4
2018-06-26 12:00:00,0.47795,0.4819,0.4511,0.453,15514435.6
2018-06-27 00:00:00,0.45218,0.4718,0.44787,0.4625,14831408.6
2018-06-27 12:00:00,0.46277,0.47518,0.45224,0.4701,14840179.6
2018-06-28 00:00:00,0.47042,0.47396,0.45663,0.45999,15692779.1
2018-06-28 12:00:00,0.45998,0.46262,0.442,0.44575,20091574.8
2018-06-29 00:00:00,0.4463,0.4503,0.42663,0.42701,17357806.4
2018-06-29 12:00:00,0.427,0.46124,0.42393,0.45321,20177710.4
2018-06-30 00:00:00,0.45346,0.48318,0.45312,0.46868,20919285.7
2018-06-30 12:00:00,0.46825,0.475,0.4558,0.46796,16575766.1
2018-07-01 00:00:00,0.46797,0.46989,0.45382,0.46199,16703676.7
2018-07-01 12:00:00,0.462,0.467,0.45007,0.46222,14972497.4
2018-07-02 00:00:00,0.46222,0.46347,0.452,0.45862,15711799.8
2018-07-02 12:00:00,0.45925,0.4954,0.45694,0.4899,24161982.0
2018-07-03 00:00:00,0.48913,0.52,0.48514,0.49571,23975257.4
2018-07-03 12:00:00,0.49715,0.503,0.47801,0.4844,20357924.2
2018-07-04 00:00:00,0.48469,0.49,0.47941,0.48434,5199549.9
2018-07-04 12:00:00,0.48268,0.508,0.48268,0.49097,21523336.4
2018-07-05 00:00:00,0.49155,0.50295,0.48262,0.48739,15608939.2
2018-07-05 12:00:00,0.48704,0.49147,0.46887,0.4769,15080346.7
2018-07-06 00:00:00,0.47772,0.47819,0.45747,0.4735,13528390.1
2018-07-06 12:00:00,0.4743,0.48156,0.46674,0.47698,13276618.6
2018-07-07 00:00:00,0.47644,0.47698,0.467,0.4695,13773149.0
2018-07-07 12:00:00,0.4692,0.488,0.46381,0.48494,14810880.2
2018-07-08 00:00:00,0.4852,0.48798,0.47867,0.48451,15401966.5
2018-07-08 12:00:00,0.48479,0.4879,0.4751,0.47915,16079012.8
2018-07-09 00:00:00,0.47872,0.48137,0.47366,0.47934,12856301.9
2018-07-09 12:00:00,0.47848,0.48201,0.47015,0.473,13834251.7
2018-07-10 00:00:00,0.4728,0.47338,0.44154,0.4462,16747251.3
2018-07-10 12:00:00,0.4462,0.45216,0.43866,0.44337,13904416.8
2018-07-11 00:00:00,0.44247,0.45134,0.43957,0.44763,13751557.5
2018-07-11 12:00:00,0.44766,0.45089,0.44137,0.44872,14884370.7
2018-07-12 00:00:00,0.449,0.44932,0.43052,0.43266,14314711.8
2018-07-12 12:00:00,0.43267,0.43795,0.4236,0.43675,16065887.7
2018-07-13 00:00:00,0.43706,0.44509,0.4363,0.44133,16203795.8
2018-07-13 12:00:00,0.44158,0.44497,0.43001,0.43754,16964848.5
2018-07-14 00:00:00,0.43761,0.44029,0.431,0.43614,12827340.0
2018-07-14 12:00:00,0.43635,0.4443,0.43546,0.43864,14314242.3
2018-07-15 00:00:00,0.43864,0.449,0.43509,0.44651,17792078.3
2018-07-15 12:00:00,0.44651,0.45004,0.44151,0.44681,16090871.5
2018-07-16 00:00:00,0.44695,0.47,0.4435,0.46834,19835120.4
2018-07-16 12:00:00,0.46816,0.4858,0.46031,0.48173,21584403.7
2018-07-17 00:00:00,0.48173,0.48634,0.4665,0.47021,19478956.6
2018-07-17 12:00:00,0.47021,0.52019,0.4692,0.50728,28687339.6
2018-07-18 00:00:00,0.50651,0.52525,0.50601,0.51224,20040445.6
2018-07-18 12:00:00,0.51224,0.5204,0.4752,0.48868,28707008.0
2018-07-19 00:00:00,0.48869,0.49147,0.47457,0.4878,18415277.0
2018-07-19 12:00:00,0.48783,0.495,0.47125,0.47687,18185283.0
2018-07-20 00:00:00,0.47703,0.4773,0.4447,0.46326,19205765.1
2018-07-20 12:00:00,0.46326,0.46895,0.431,0.44439,21539751.1
2018-07-21 00:00:00,0.4444,0.45678,0.4346,0.44875,12981738.9
2018-07-21 12:00:00,0.44864,0.459,0.44711,0.45506,15502252.5
2018-07-22 00:00:00,0.45467,0.4574,0.44901,0.45468,14976981.9
2018-07-22 12:00:00,0.45471,0.46409,0.44589,0.44859,17255365.3
2018-07-23 00:00:00,0.44859,0.46371,0.4475,0.45165,13624472.1
2018-07-23 12:00:00,0.45234,0.45468,0.44212,0.44499,16691917.8
2018-07-24 00:00:00,0.4452,0.462,0.438,0.45678,20704105.4
2018-07-24 12:00:00,0.45843,0.4715,0.45,0.45885,22828105.8
2018-07-25 00:00:00,0.45741,0.46519,0.45153,0.45633,21403237.6
2018-07-25 12:00:00,0.45642,0.46878,0.45259,0.4598,21247050.8
2018-07-26 00:00:00,0.45983,0.46887,0.45811,0.465,16820173.6
2018-07-26 12:00:00,0.465,0.465,0.44538,0.44968,21221354.8
2018-07-27 00:00:00,0.44878,0.45436,0.44666,0.44915,17433683.1
2018-07-27 12:00:00,0.44873,0.462,0.444,0.4555,17819296.7
2018-07-28 00:00:00,0.4555,0.45887,0.45121,0.45251,13353690.5
2018-07-28 12:00:00,0.45317,0.45832,0.44803,0.45641,14489656.8
2018-07-29 00:00:00,0.45643,0.45849,0.45,0.45147,15167868.0
2018-07-29 12:00:00,0.45151,0.45665,0.45088,0.45315,16020837.5
2018-07-30 00:00:00,0.45315,0.45621,0.44821,0.45001,15639270.4
2018-07-30 12:00:00,0.45041,0.45378,0.43382,0.44534,16502327.5
2018-07-31 00:00:00,0.44616,0.44641,0.434,0.43666,15051384.2
2018-07-31 12:00:00,0.43761,0.44,0.4268,0.4353,16733708.4
2018-08-01 00:00:00,0.4353,0.46382,0.42671,0.44765,21111379.7
2018-08-01 12:00:00,0.44766,0.45382,0.43201,0.44642,18722098.6
2018-08-02 00:00:00,0.44673,0.44888,0.43418,0.43557,15254948.4
2018-08-02 12:00:00,0.43556,0.43709,0.42849,0.42975,18141519.7
2018-08-03 00:00:00,0.43021,0.44619,0.4253,0.43806,23318463.9
2018-08-03 12:00:00,0.43842,0.445,0.4348,0.44033,21429797.3
2018-08-04 00:00:00,0.44097,0.445,0.4365,0.43727,15413183.8
2018-08-04 12:00:00,0.43726,0.43909,0.42741,0.42985,19682213.7
2018-08-05 00:00:00,0.42984,0.43387,0.42705,0.43121,17494497.1
2018-08-05 12:00:00,0.43196,0.43705,0.42731,0.4345,17467587.1
2018-08-06 00:00:00,0.43437,0.43699,0.42417,0.42689,15667381.3
2018-08-06 12:00:00,0.4269,0.42739,0.40127,0.4129,24911611.6
2018-08-07 00:00:00,0.41328,0.41567,0.40501,0.4121,15849983.0
2018-08-07 12:00:00,0.4121,0.41349,0.37387,0.37863,25307269.56
2018-08-08 00:00:00,0.37863,0.37863,0.34008,0.35159,33251262.6
2018-08-08 12:00:00,0.35198,0.36248,0.31928,0.33171,39141745.55
2018-08-09 00:00:00,0.33197,0.35799,0.33066,0.34057,26056539.8
2018-08-09 12:00:00,0.34017,0.353,0.328,0.3441,25776300.9
2018-08-10 00:00:00,0.3441,0.34689,0.32911,0.33134,16706627.5
2018-08-10 12:00:00,0.33131,0.33942,0.31236,0.31897,22562469.7
2018-08-11 00:00:00,0.31897,0.32008,0.2874,0.29506,24257206.3
2018-08-11 12:00:00,0.29498,0.31346,0.288,0.29784,24467112.4
2018-08-12 00:00:00,0.29708,0.30938,0.29401,0.30476,15070060.0
2018-08-12 12:00:00,0.30439,0.30566,0.29433,0.29547,20312200.6
2018-08-13 00:00:00,0.29575,0.309,0.29518,0.30399,17557960.1
2018-08-13 12:00:00,0.30399,0.30523,0.27127,0.2743,26209375.24
2018-08-14 00:00:00,0.2743,0.27732,0.24672,0.25958,31864369.3
2018-08-14 12:00:00,0.25946,0.27398,0.25318,0.2725,24237529.7
