Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2020-08-18,2.09,4.44,2.0,3.1,6039881.97,18375373.392336
2020-08-19,3.1,3.1999,2.64,2.95,15895774.92,47558321.633254
2020-08-20,2.9449,3.1111,2.6,2.9,11040863.6,31457410.866817
2020-08-21,2.8978,3.09,2.6826,2.833,9765153.74,28393535.853484
2020-08-22,2.8387,4.55,2.782,4.4546,41611476.51,158038898.765092
2020-08-23,4.4756,4.4864,3.7032,3.9779,23845309.65,95428986.261665
2020-08-24,3.9805,4.7983,3.78,4.5759,25843953.12,109846588.655713
2020-08-25,4.5759,5.77,4.48,5.5412,39457369.99,198629064.460091
2020-08-26,5.5412,6.57,5.1015,6.0708,37811519.74,220764309.967986
2020-08-27,6.0708,6.8,5.2001,5.6547,42626336.42,254544768.748318
2020-08-28,5.6569,6.35,5.462,6.1812,24019172.63,143282994.413159
2020-08-29,6.1769,6.556,6.0032,6.1333,15360444.96,96738124.107342
2020-08-30,6.1339,6.251,5.6999,5.8912,13266535.91,79304141.69388
2020-08-31,5.8875,6.4662,5.7541,6.2718,13564047.71,83178113.342485
2020-09-01,6.2712,6.8619,6.12,6.239,16330264.82,105652410.569904
2020-09-02,6.24,6.4472,5.58,6.1374,15500500.04,93395820.330234
2020-09-03,6.1375,6.3325,5.5471,5.6743,21239867.51,127670120.658439
2020-09-04,5.6743,5.99,4.5,5.1019,28314850.39,149896428.923211
2020-09-05,5.0987,5.3147,3.5321,4.1456,32791302.31,143610169.191128
2020-09-06,4.1456,4.921,3.7298,4.784,23608694.54,104476521.403038
2020-09-07,4.7849,4.8367,4.001,4.5944,16089613.82,70783102.011423
2020-09-08,4.5967,4.6339,4.1067,4.2787,10449746.7,45273756.942433
2020-09-09,4.2657,4.7935,4.077,4.7003,11225976.14,50401817.278242
2020-09-10,4.7003,4.8894,4.4308,4.5796,9912392.07,46053296.665892
2020-09-11,4.5781,4.75,4.31,4.6498,9013005.18,40569470.753882
2020-09-12,4.6433,5.296,4.4998,5.1385,12566058.18,61409150.776726
2020-09-13,5.1379,5.4771,4.7668,5.3213,16262645.74,83366010.768212
2020-09-14,5.3198,5.5761,5.0911,5.3555,14288009.6,76292313.572999
2020-09-15,5.3597,5.45,5.012,5.0535,10306445.21,54210373.801356
2020-09-16,5.0535,5.28,4.9578,5.0712,8102718.15,41274456.703631
2020-09-17,5.0739,5.4261,5.043,5.3354,10973999.33,57511699.703967
2020-09-18,5.3313,5.455,5.0939,5.2616,7241901.56,38069226.660935
2020-09-19,5.2595,5.264,4.7862,4.924,6124417.44,30794741.088753
2020-09-20,4.9205,4.9707,4.3715,4.6518,11400427.77,52953401.248455
2020-09-21,4.656,4.6969,3.91,4.0691,18249034.01,76679925.476092
2020-09-22,4.07,4.2103,3.9,4.1625,8023448.28,32710887.50394
2020-09-23,4.1623,4.3241,3.94,4.0077,9432617.01,38859121.128485
2020-09-24,4.0128,4.49,3.9616,4.3782,8363967.02,35564854.18027
2020-09-25,4.3784,4.5299,4.241,4.4139,6666492.08,29115518.960414
