Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2019-04-26,0.0099,0.01052,0.00481,0.00545,2251813333.7,13165943.999651
2019-04-27,0.00543,0.00586,0.00516,0.00521,440339020.0,2401118.029482
2019-04-28,0.00521,0.00527,0.00434,0.00442,457183971.5,2218764.985351
2019-04-29,0.00442,0.00456,0.00343,0.00347,520557584.6,2090178.57133
2019-04-30,0.00346,0.00516,0.00346,0.00442,1165706893.8,5268819.868298
2019-05-01,0.00442,0.00464,0.00402,0.00432,650430750.0,2758219.843137
2019-05-02,0.00432,0.00468,0.0041,0.00419,270118878.8,1168828.903711
2019-05-03,0.00419,0.0044,0.00394,0.00423,279265819.7,1153772.204243
2019-05-04,0.00423,0.00425,0.00381,0.00397,151436176.6,612281.143483
2019-05-05,0.00396,0.00406,0.00359,0.00372,161357630.8,614191.031
2019-05-06,0.00371,0.00392,0.0035,0.00373,270695596.4,1003392.020541
2019-05-07,0.00374,0.00385,0.00333,0.00336,172934704.9,631415.43591
2019-05-08,0.00335,0.00348,0.00328,0.00333,154227974.6,519824.742367
2019-05-09,0.00336,0.00341,0.00303,0.00314,211829251.9,675710.226558
2019-05-10,0.00313,0.00388,0.00312,0.00378,408703745.6,1440180.244903
2019-05-11,0.00379,0.00505,0.00371,0.0046,688249967.8,3001736.117508
2019-05-12,0.00462,0.00572,0.00444,0.0053,1166562752.9,6084005.271726
2019-05-13,0.00529,0.0092,0.00516,0.00868,2877309846.1,21808982.316248
2019-05-14,0.00864,0.0112,0.00718,0.0078,3861464345.1,36235484.083881
2019-05-15,0.00777,0.01,0.00705,0.00956,1803273014.2,16001266.44628
2019-05-16,0.00957,0.01205,0.00826,0.01087,2158935027.2,21866185.336341
2019-05-17,0.01086,0.01507,0.00921,0.01455,4397262355.6,56503235.839235
2019-05-18,0.01456,0.01489,0.01205,0.01235,1670915897.8,21896672.922249
2019-05-19,0.01235,0.02069,0.01226,0.02018,2909833092.6,50304463.97869
2019-05-20,0.02016,0.035,0.01833,0.0295,4959586016.0,129015793.31595
2019-05-21,0.02937,0.045,0.02438,0.02953,7216196145.9,254220541.198303
2019-05-22,0.0295,0.0317,0.0205,0.02209,4411472529.9,107986180.265709
2019-05-23,0.02215,0.03401,0.02143,0.02739,5742350972.3,164039791.901925
2019-05-24,0.02736,0.0287,0.02265,0.02529,2439816666.4,61713452.336138
2019-05-25,0.02527,0.02835,0.02302,0.02475,2092787378.6,53847308.505894
2019-05-26,0.02482,0.02725,0.02305,0.02419,1308601539.2,33074414.20915
2019-05-27,0.02417,0.02478,0.02076,0.02235,1191302944.8,26878220.065482
2019-05-28,0.02232,0.0254,0.02102,0.0238,1527919636.6,35602220.792041
2019-05-29,0.02379,0.02487,0.02207,0.02212,860955448.6,19912545.763143
2019-05-30,0.02213,0.0233,0.01824,0.01972,1037590833.5,22266449.325702
2019-05-31,0.01972,0.02299,0.01939,0.02216,1075501624.0,23008223.814831
2019-06-01,0.02216,0.02289,0.02067,0.02104,963080818.8,20696050.741081
2019-06-02,0.02107,0.02221,0.01961,0.02012,514773376.3,10876792.906084
2019-06-03,0.02012,0.02099,0.01873,0.01911,515148781.0,10240488.394774
2019-06-04,0.01911,0.02198,0.0178,0.02139,1436021143.1,28557189.639052
2019-06-05,0.0214,0.02361,0.01954,0.02285,1684301208.5,35947863.625076
2019-06-06,0.0229,0.02514,0.0215,0.02361,1610958057.6,37838212.333478
2019-06-07,0.02361,0.02488,0.02231,0.02426,581785344.2,13653073.35999
2019-06-08,0.02429,0.02662,0.0233,0.02583,892055754.0,22531357.462861
2019-06-09,0.02583,0.0276,0.02431,0.02537,1037582796.8,26851874.434174
2019-06-10,0.02537,0.02735,0.02388,0.02698,861155174.4,21971136.137381
2019-06-11,0.02701,0.02706,0.02332,0.0239,652982968.7,16209780.637763
2019-06-12,0.0239,0.02525,0.02281,0.02305,680341982.3,16244462.140729
2019-06-13,0.02304,0.02475,0.02221,0.0231,1130423131.5,26175537.470944
2019-06-14,0.02314,0.0233,0.019,0.02055,658163305.3,13853667.774932
2019-06-15,0.02053,0.02295,0.02053,0.02179,659353874.4,14344732.616473
2019-06-16,0.02179,0.0228,0.02063,0.0224,648967789.4,14016709.516009
2019-06-17,0.02239,0.02385,0.02122,0.02175,567072821.4,12699272.795434
2019-06-18,0.02175,0.02289,0.02122,0.02247,650343325.3,14442850.480618
2019-06-19,0.02249,0.0244,0.02233,0.02309,1270664876.6,29575060.5703
2019-06-20,0.02307,0.02376,0.02178,0.02241,684710485.3,15548293.951298
2019-06-21,0.02242,0.02343,0.02061,0.021,1001459457.6,22213762.280887
2019-06-22,0.02103,0.02276,0.0205,0.02194,1239942559.0,26839816.5804
2019-06-23,0.02193,0.02238,0.02078,0.02104,942419639.9,20438855.837271
2019-06-24,0.02104,0.02169,0.02,0.02072,290258602.6,6110130.825519
2019-06-25,0.02072,0.02072,0.01903,0.0192,364473706.3,7201433.072587
2019-06-26,0.0192,0.0195,0.01639,0.01795,826569793.3,14886875.863646
2019-06-27,0.01788,0.02168,0.01723,0.01942,952899255.4,18829917.441861
2019-06-28,0.01948,0.02116,0.01905,0.0192,490034713.7,9765997.20925
2019-06-29,0.01925,0.02656,0.01922,0.02412,1290963508.0,30212545.853808
2019-06-30,0.02407,0.0269,0.02201,0.02217,1018619377.2,25011971.94322
2019-07-01,0.02218,0.02313,0.02009,0.02238,549433910.1,12008207.31037
2019-07-02,0.02238,0.02265,0.01952,0.02002,394132210.2,8067242.120897
2019-07-03,0.01998,0.02041,0.01857,0.0193,402571000.0,7909776.963043
2019-07-04,0.01926,0.0193,0.017,0.01797,378345924.9,6872699.516531
2019-07-05,0.01797,0.01958,0.0176,0.01811,245911827.1,4542141.447525
2019-07-06,0.01811,0.01844,0.0175,0.01768,101526675.6,1815905.338448
2019-07-07,0.01768,0.0184,0.01712,0.01759,138660572.1,2454732.075003
2019-07-08,0.01761,0.01767,0.0165,0.01664,219596457.6,3727551.779498
2019-07-09,0.01664,0.01722,0.01505,0.01622,309295834.9,5016531.449778
2019-07-10,0.01622,0.01748,0.01477,0.0161,437375040.3,7034960.538566
2019-07-11,0.01612,0.01687,0.01418,0.01442,264561118.6,4055570.692066
2019-07-12,0.01443,0.0165,0.01409,0.0157,248278116.1,3863551.765377
2019-07-13,0.0157,0.01778,0.01515,0.01662,433122420.4,7166394.855553
2019-07-14,0.01664,0.01745,0.01417,0.01431,296945768.7,4683626.338642
2019-07-15,0.01431,0.01435,0.01288,0.01386,195436667.1,2692163.340891
2019-07-16,0.01385,0.01459,0.0118,0.01206,258587967.7,3351627.43522
2019-07-17,0.01202,0.014,0.01163,0.01316,252450983.1,3249649.406046
2019-07-18,0.01314,0.01425,0.0125,0.01362,224879379.3,3024861.686552
2019-07-19,0.01365,0.01392,0.01317,0.01337,82349270.0,1109329.787829
2019-07-20,0.01343,0.01448,0.01322,0.0139,104993002.1,1458183.292739
2019-07-21,0.01395,0.01409,0.0131,0.01345,51976782.7,709127.593718
2019-07-22,0.01346,0.0136,0.0124,0.01272,67716133.2,884323.097044
2019-07-23,0.01278,0.01282,0.01145,0.01154,104242721.3,1245229.605358
2019-07-24,0.01146,0.01249,0.01109,0.01193,96196226.9,1137652.828382
2019-07-25,0.01191,0.01279,0.0119,0.01218,90884427.6,1123058.798982
2019-07-26,0.01218,0.01298,0.0119,0.01277,87262445.6,1095072.458835
2019-07-27,0.01275,0.01327,0.01173,0.01198,86377810.4,1068320.048237
2019-07-28,0.01198,0.01216,0.01124,0.01179,57836881.2,680510.554617
2019-07-29,0.01173,0.01196,0.01126,0.01133,50457970.7,583061.039323
2019-07-30,0.01135,0.01168,0.011,0.01157,53295692.4,603703.767289
2019-07-31,0.01151,0.01166,0.01112,0.01131,77499188.1,881524.054425
2019-08-01,0.01134,0.01154,0.01055,0.01062,111946706.8,1222840.332371
2019-08-02,0.01061,0.01155,0.01041,0.01109,144581652.3,1584139.554968
2019-08-03,0.01109,0.0114,0.01058,0.01062,90599072.9,1000924.626907
2019-08-04,0.01062,0.01099,0.01013,0.01022,99736984.5,1049041.297904
2019-08-05,0.01022,0.01293,0.00951,0.01169,718163052.7,8190108.912342
2019-08-06,0.01168,0.01736,0.01164,0.01531,1705674410.7,25563467.194666
2019-08-07,0.01531,0.02063,0.01531,0.01666,1977529841.8,35969646.736308
2019-08-08,0.01669,0.01764,0.01416,0.01453,887359062.8,14247344.263357
2019-08-09,0.01444,0.01486,0.0121,0.01218,567134284.2,7626781.265212
2019-08-10,0.01215,0.01549,0.01213,0.01497,819362182.3,11342161.295438
2019-08-11,0.01501,0.0187,0.01402,0.01603,1195445043.1,19815155.568078
2019-08-12,0.01609,0.0182,0.01582,0.01691,839532697.5,14201139.099665
2019-08-13,0.01692,0.01725,0.01502,0.01682,643086628.6,10372666.762094
2019-08-14,0.01682,0.01737,0.01454,0.01475,673891620.9,10784679.443655
2019-08-15,0.01475,0.01566,0.0142,0.01455,365523090.1,5479527.94283
2019-08-16,0.01458,0.01472,0.01316,0.0133,333896356.1,4663423.198888
2019-08-17,0.0133,0.0148,0.01322,0.01417,286427641.9,3989951.202289
2019-08-18,0.01416,0.01455,0.0136,0.0139,211127169.5,2969546.49419
2019-08-19,0.01393,0.01594,0.01384,0.01542,438255057.4,6534532.027742
2019-08-20,0.01543,0.01599,0.01481,0.01578,306085526.1,4709909.121945
2019-08-21,0.01582,0.01597,0.01442,0.01547,344245407.3,5215261.974722
2019-08-22,0.01551,0.01713,0.01465,0.01672,488617075.7,7859841.334384
2019-08-23,0.0167,0.01736,0.01495,0.01534,360555621.0,5844227.065839
2019-08-24,0.01536,0.01545,0.0142,0.01483,305267605.2,4520575.670803
2019-08-25,0.01483,0.01496,0.01355,0.01373,151830261.6,2166654.201619
2019-08-26,0.01368,0.01473,0.01366,0.01392,162985868.3,2292297.591374
2019-08-27,0.01391,0.0149,0.01372,0.01416,178712745.0,2564991.377141
2019-08-28,0.01417,0.01461,0.01275,0.01291,166959782.2,2298821.029604
2019-08-29,0.01291,0.01291,0.01148,0.01168,148121402.9,1797227.462656
2019-08-30,0.01168,0.01245,0.01155,0.01232,109461152.5,1326099.025128
2019-08-31,0.01232,0.01234,0.01132,0.01177,70188124.4,838202.851439
2019-09-01,0.01175,0.01236,0.01152,0.01217,70966390.6,848892.639462
2019-09-02,0.01225,0.01395,0.01202,0.01378,221181128.9,2936056.34848
2019-09-03,0.01374,0.015,0.01275,0.01433,236492770.3,3278495.483892
2019-09-04,0.01431,0.01457,0.01381,0.0141,135373752.1,1913417.435215
2019-09-05,0.01411,0.0152,0.01403,0.01487,215593248.6,3152466.817332
2019-09-06,0.01487,0.01491,0.0134,0.01358,204994676.4,2877916.87326
2019-09-07,0.01356,0.01408,0.01347,0.01379,85406834.3,1170991.830109
2019-09-08,0.01378,0.01401,0.01364,0.01387,56146893.1,776862.968243
2019-09-09,0.01387,0.01464,0.01297,0.0141,209711539.9,2929210.581455
2019-09-10,0.0141,0.01438,0.01319,0.0135,95787661.0,1329054.451775
2019-09-11,0.01351,0.01372,0.01285,0.0131,92349749.8,1218881.60158
2019-09-12,0.0131,0.01316,0.0125,0.01296,80307156.9,1034507.330199
2019-09-13,0.01294,0.01322,0.01267,0.01293,44860625.0,580946.592761
2019-09-14,0.01293,0.01344,0.01284,0.01305,48470841.6,640398.643607
2019-09-15,0.01304,0.01324,0.01259,0.01283,56612198.1,733063.2416
2019-09-16,0.01283,0.013,0.01251,0.0129,56442517.6,720991.937309
2019-09-17,0.0129,0.01388,0.01276,0.01348,96218969.6,1275767.377569
