Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2018-06-11,0.05,0.05,0.04258,0.0484,72569508.9,3361609.582839
2018-06-12,0.04837,0.04849,0.04081,0.0433,189962494.5,8585564.51419
2018-06-13,0.04332,0.04476,0.03726,0.04098,468993557.7,19187027.806684
2018-06-14,0.04093,0.04574,0.03992,0.04505,488364234.2,21025184.113756
2018-06-15,0.04506,0.04592,0.04149,0.04232,406097492.9,17896654.30456
2018-06-16,0.04229,0.0436,0.04085,0.04295,353640751.6,15095982.705576
2018-06-17,0.04294,0.0435,0.04219,0.04234,321205248.9,13793136.002413
2018-06-18,0.04235,0.046,0.04111,0.04509,444293609.8,19249453.949335
2018-06-19,0.0451,0.05216,0.0443,0.04965,682069690.9,32853106.874366
2018-06-20,0.04967,0.05036,0.04542,0.0498,627484487.3,30193991.336123
2018-06-21,0.04979,0.05092,0.0473,0.0487,487517074.1,23838384.090612
2018-06-22,0.04868,0.0493,0.04125,0.0427,704300814.0,31403983.423687
2018-06-23,0.04271,0.04496,0.04206,0.044,410180684.7,17877406.208222
2018-06-24,0.04397,0.04444,0.03755,0.04205,674573640.7,27607972.202344
2018-06-25,0.04205,0.04372,0.04075,0.04208,331759214.9,13938548.870342
2018-06-26,0.04208,0.0423,0.03729,0.03737,214435118.9,8533355.408084
2018-06-27,0.03736,0.03996,0.03666,0.03888,266803436.0,10210889.294191
2018-06-28,0.03895,0.03981,0.03562,0.03605,355103306.8,13528996.990282
2018-06-29,0.03596,0.03719,0.03315,0.03638,616344265.0,21703124.919016
2018-06-30,0.03645,0.03997,0.03587,0.03756,721706327.6,27123204.876569
2018-07-01,0.0376,0.03784,0.03601,0.03665,323005581.9,11878221.254305
2018-07-02,0.03662,0.04298,0.03635,0.03962,617553915.6,24053999.526839
2018-07-03,0.03964,0.04079,0.0378,0.03808,543676860.7,21433591.601338
2018-07-04,0.03808,0.04012,0.03765,0.03888,257661875.5,10076208.573749
2018-07-05,0.03891,0.03968,0.0364,0.03703,756133477.3,28824604.936168
2018-07-06,0.03705,0.03722,0.03431,0.03584,431072065.4,15492455.175068
2018-07-07,0.03585,0.03731,0.03477,0.03704,380932296.8,13516047.67334
2018-07-08,0.03707,0.03814,0.0363,0.03677,387453974.3,14381669.48614
2018-07-09,0.03676,0.03686,0.0353,0.0355,370122418.9,13392397.860597
2018-07-10,0.03553,0.0358,0.03239,0.03318,504720829.6,17146628.700053
2018-07-11,0.03319,0.03451,0.0325,0.0335,548317548.3,18301795.717643
2018-07-12,0.0335,0.03351,0.03105,0.03242,529087683.3,17111371.895045
2018-07-13,0.03243,0.03474,0.03225,0.0332,624021052.5,20722807.762141
2018-07-14,0.0332,0.0339,0.03251,0.0333,624203829.4,20687452.440334
2018-07-15,0.03339,0.03495,0.03307,0.03437,594037396.1,20317124.283259
2018-07-16,0.03437,0.03778,0.03403,0.03751,736888244.3,26311196.818624
2018-07-17,0.03754,0.04093,0.03602,0.03973,852853141.4,32537272.296309
2018-07-18,0.03976,0.0439,0.0384,0.03969,1100192035.8,44653154.091377
2018-07-19,0.03967,0.03972,0.03735,0.03804,786159431.9,30111324.587642
2018-07-20,0.03802,0.03805,0.03434,0.03487,888893258.8,32003105.217516
2018-07-21,0.03482,0.03652,0.0336,0.03554,658043763.8,23284862.433078
2018-07-22,0.03555,0.03652,0.03486,0.0351,526288572.8,18818590.390592
2018-07-23,0.03507,0.03649,0.03394,0.03406,800259848.8,27979177.03851
2018-07-24,0.03413,0.0392,0.03279,0.0379,1334177931.1,48340000.924688
2018-07-25,0.03796,0.03929,0.03609,0.03713,1079161813.4,40518193.763569
2018-07-26,0.03717,0.03879,0.03535,0.03593,987999714.1,37044107.808078
2018-07-27,0.03586,0.03717,0.0351,0.03654,858778885.8,31155781.501953
2018-07-28,0.03656,0.03697,0.03573,0.0369,783963947.4,28612956.088832
2018-07-29,0.03693,0.041,0.0368,0.03905,738737711.5,28382082.193064
2018-07-30,0.03901,0.03961,0.03516,0.03635,725668372.4,26877411.943459
2018-07-31,0.03634,0.03643,0.03319,0.03373,968338101.2,33318881.134494
2018-08-01,0.0338,0.03395,0.03141,0.03252,931494824.3,30592773.810092
2018-08-02,0.03252,0.03317,0.03059,0.03128,857218305.6,27204176.66094
2018-08-03,0.03129,0.03155,0.02917,0.03039,889167873.0,26976589.753003
2018-08-04,0.0304,0.03126,0.02827,0.02879,818507481.3,24343231.833111
2018-08-05,0.02879,0.03059,0.0281,0.03025,628989651.8,18345135.131023
2018-08-06,0.03026,0.03109,0.02868,0.02912,813018411.6,24006008.363463
2018-08-07,0.02914,0.02995,0.02739,0.02766,869392315.3,25207688.084043
2018-08-08,0.02767,0.02768,0.02325,0.02428,1089655190.1,27375298.578063
2018-08-09,0.02426,0.02645,0.02348,0.02551,892745829.0,22328698.255202
2018-08-10,0.02551,0.02597,0.0231,0.02362,958839673.2,23640173.742185
2018-08-11,0.02366,0.02385,0.02167,0.02213,900529916.4,20566112.254096
2018-08-12,0.02215,0.02349,0.022,0.02248,794533232.9,17968853.933065
2018-08-13,0.02246,0.02278,0.01885,0.01909,955173349.8,20320964.432921
2018-08-14,0.01906,0.02201,0.016,0.01858,997605288.3,17508909.781405
2018-08-15,0.01867,0.02074,0.01857,0.01918,1235615851.5,24347862.293474
2018-08-16,0.01919,0.01997,0.01884,0.01931,766532158.3,14813631.253597
2018-08-17,0.01932,0.02346,0.01915,0.02333,986723126.9,21128192.144632
2018-08-18,0.02332,0.02463,0.02005,0.02131,791602787.4,17599133.224971
