Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2018-04-30,0.5,1.5,0.5,0.86483,53708414.92,48225866.3360832
2018-05-07,0.86482,0.86886,0.62519,0.72999,121388954.12,90066506.9165114
2018-05-14,0.72999,0.7499,0.646,0.6994,81026594.05,56406093.4299649
2018-05-21,0.6994,0.705,0.5731,0.60416,119363181.72,73665983.1682027
2018-05-28,0.60417,0.69101,0.54303,0.6901,234446288.89,143769550.8907743
2018-06-04,0.6901,0.707,0.55,0.58201,271258795.74,178453619.2352807
2018-06-11,0.58202,0.6,0.50401,0.52617,210360409.31,115011463.0438051
2018-06-18,0.52669,0.56185,0.43724,0.47331,237851499.47,121654736.8714586
2018-06-25,0.47418,0.4992,0.42393,0.46222,221559858.0,102200380.482518
2018-07-02,0.46222,0.52,0.452,0.47915,228489152.8,110303317.659011
2018-07-09,0.47872,0.48201,0.4236,0.44681,210551925.8,94175542.977401
2018-07-16,0.44695,0.52525,0.431,0.44859,276395688.7,130948516.318425
2018-07-23,0.44859,0.4715,0.438,0.45315,248825450.5,113338788.199046
2018-07-30,0.45315,0.46382,0.4253,0.4345,251962379.8,110509336.081156
2018-08-06,0.43437,0.43699,0.2874,0.29547,329337770.81,114669451.669588
2018-08-13,0.29575,0.37506,0.24672,0.34201,447467944.04,137842953.667613
2018-08-20,0.34201,0.35499,0.31039,0.32276,319657665.2,104845271.245089
2018-08-27,0.32277,0.35809,0.32145,0.34253,340787215.3,115741081.400928
2018-09-03,0.34237,0.34387,0.2676,0.2766,345424289.7,104175176.795239
2018-09-10,0.27699,0.2867,0.25261,0.28122,315998295.1,86127872.322051
2018-09-17,0.28122,0.8,0.26662,0.5719,1848231045.44,920723150.6859401
2018-09-24,0.5719,0.62604,0.43558,0.58257,1852610826.6,983199494.495004
2018-10-01,0.58257,0.6059,0.46666,0.48269,1065317910.1,568170793.939401
2018-10-08,0.4826,0.50449,0.37685,0.40994,846440927.9,373447557.585233
2018-10-15,0.40951,0.52179,0.39771,0.46458,789297869.3,370459991.49496
2018-10-22,0.46458,0.48649,0.444,0.46472,280789996.8,130259225.1511
2018-10-29,0.46483,0.47959,0.4343,0.46999,255062271.6,116266809.259672
2018-11-05,0.46999,0.56878,0.461,0.51019,540162399.8,279690971.129308
2018-11-12,0.51018,0.53499,0.422,0.51611,795614369.7,388237483.809228
2018-11-19,0.51608,0.51695,0.32802,0.382,1495928889.8,642495187.508863
2018-11-26,0.38186,0.40319,0.34625,0.36963,866160179.5,322868722.769646
