Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2018-04-17,0.25551,0.288,0.23983,0.27004,149650369.25,38943865.7544116
2018-04-20,0.27004,0.307,0.26509,0.2816,212497947.86,60805762.2375347
2018-04-23,0.2816,0.32,0.2573,0.2687,249555830.9,72452629.4032188
2018-04-26,0.2687,0.36498,0.255,0.35676,306828823.35,95615766.4704924
2018-04-29,0.35675,0.3866,0.3187,0.35504,376351559.13,132804681.5862997
2018-05-02,0.35498,0.3885,0.345,0.358,209853365.31,76942306.4364432
2018-05-05,0.3584,0.37434,0.291,0.33046,174950497.23,60270031.4779376
2018-05-08,0.33079,0.34559,0.291,0.29121,143951082.49,45658245.789684
2018-05-11,0.29121,0.29349,0.23402,0.27718,367980887.37,97418801.7521674
2018-05-14,0.27718,0.27815,0.237,0.25237,189161736.54,49043287.5395055
2018-05-17,0.25237,0.26054,0.23037,0.24116,114837749.07,27899052.8192276
2018-05-20,0.24151,0.26006,0.21841,0.22,135483556.07,33151922.640663
2018-05-23,0.22,0.2231,0.18865,0.19788,262993455.11,53314307.1776347
2018-05-26,0.19798,0.204,0.17125,0.17249,241799888.26,46107858.4853757
2018-05-29,0.17249,0.22879,0.17055,0.2233,491025701.9,101459698.0301495
2018-06-01,0.22331,0.23677,0.21347,0.22659,351413773.58,78877762.9001992
2018-06-04,0.2266,0.2303,0.20221,0.21452,339204893.82,72538130.3783649
2018-06-07,0.2147,0.21863,0.20025,0.2011,254127033.32,52776075.2389695
2018-06-10,0.20108,0.20108,0.158,0.16297,323911593.94,57310955.7288188
2018-06-13,0.16309,0.177,0.145,0.16097,439448675.05,72014948.2023401
2018-06-16,0.16098,0.1681,0.1554,0.1637,269049972.6,43514828.84277
2018-06-19,0.1637,0.17149,0.1567,0.15779,275291044.5,44476711.775162
2018-06-22,0.15773,0.15861,0.1191,0.13093,362284993.59,49272025.1334766
2018-06-25,0.13085,0.13889,0.12271,0.12752,270834112.3,35198915.414698
2018-06-28,0.12753,0.1388,0.11359,0.13784,391734097.6,49471603.982254
2018-07-01,0.13783,0.16209,0.13303,0.14966,527821621.6,78197522.810637
2018-07-04,0.14973,0.15999,0.13803,0.14501,323609434.4,48250610.5086
2018-07-07,0.14528,0.15,0.13698,0.13935,258605950.7,37145813.454801
2018-07-10,0.13934,0.13972,0.122,0.1275,297412712.8,38469288.866637
2018-07-13,0.12747,0.14594,0.12458,0.14227,377145277.4,51432093.392978
2018-07-16,0.14231,0.19701,0.14037,0.18053,779386698.59,133081806.3449104
2018-07-19,0.18061,0.19217,0.15388,0.16327,710585455.6,123736799.324907
2018-07-22,0.1634,0.18057,0.16001,0.17349,624237828.7,107085523.570529
2018-07-25,0.1736,0.17728,0.1551,0.1659,490964522.3,82655481.951739
2018-07-28,0.16586,0.16662,0.14716,0.15327,297948272.1,47673712.4877
2018-07-31,0.15323,0.15349,0.1285,0.13039,396660988.1,55146503.035497
2018-08-03,0.13079,0.13473,0.1229,0.13024,337026789.5,43286310.642503
2018-08-06,0.1305,0.13618,0.10855,0.11292,386629013.75,47730252.3528562
2018-08-09,0.11281,0.12631,0.10713,0.11022,473431149.8,55318185.949641
2018-08-12,0.11022,0.1145,0.084,0.0935,381554502.64,38502602.6231975
2018-08-15,0.0935,0.11,0.09138,0.11,543073083.9,53464967.882635
2018-08-18,0.11,0.11247,0.09159,0.09174,472941669.2,47622814.485307
2018-08-21,0.09203,0.10082,0.08682,0.09232,449178748.5,41677902.266959
2018-08-24,0.09222,0.09496,0.0903,0.09306,351558780.5,32586223.06854
2018-08-27,0.09306,0.10919,0.09206,0.10535,606943219.0,61745635.135188
2018-08-30,0.10535,0.11032,0.09661,0.10699,541684922.1,55611269.839302
2018-09-02,0.10699,0.10771,0.102,0.10521,412466893.9,43225043.149451
2018-09-05,0.10522,0.10621,0.08085,0.08287,553897008.0,49540462.765385
2018-09-08,0.08285,0.0844,0.0666,0.07343,465824725.8,35967682.550053
2018-09-11,0.07345,0.07475,0.06089,0.06951,783381794.1,52542720.982269
2018-09-14,0.06957,0.07077,0.06541,0.06988,530309831.0,36299887.122921
2018-09-17,0.06988,0.07441,0.06193,0.07218,806102260.3,55109561.59418
2018-09-20,0.07218,0.09035,0.07111,0.08338,1109807626.2,91018753.321656
2018-09-23,0.08331,0.0939,0.07425,0.08108,1075962507.3,91441970.629
2018-09-26,0.08114,0.0889,0.07648,0.0839,918077692.9,76193318.197734
2018-09-29,0.0839,0.0874,0.08106,0.08467,533899764.8,45109061.761206
2018-10-02,0.08451,0.0851,0.0782,0.08164,402653123.3,32999352.94287
2018-10-05,0.08161,0.08558,0.08029,0.08464,357018670.0,29380191.503605
2018-10-08,0.08465,0.0889,0.08348,0.08542,448985855.2,38542158.479415
2018-10-11,0.08547,0.08547,0.0692,0.07374,537860629.9,40431708.427978
2018-10-14,0.07374,0.08497,0.07,0.07777,544067513.9,41581793.390491
2018-10-17,0.07772,0.08132,0.075,0.07683,338359770.4,26470827.824119
2018-10-20,0.07691,0.07908,0.0761,0.07731,260459212.8,20257827.704071
2018-10-23,0.0773,0.07757,0.0735,0.07478,128650788.8,9730906.961597
2018-10-26,0.07485,0.0754,0.07255,0.07364,81134726.4,6001987.04541
2018-10-29,0.07358,0.07379,0.06773,0.07061,133355844.3,9385945.388239
2018-11-01,0.07051,0.0738,0.06966,0.07177,102085039.4,7310251.707559
2018-11-04,0.07177,0.08198,0.0712,0.08168,282873503.5,21850983.101406
2018-11-07,0.08165,0.0826,0.07401,0.07463,255578457.4,20009737.495917
2018-11-10,0.0746,0.078,0.07419,0.07687,130916325.5,9985062.872287
2018-11-13,0.0769,0.07715,0.05811,0.06435,397071850.7,26176902.757274
2018-11-16,0.06431,0.06499,0.0596,0.06234,204604056.1,12668556.837343
2018-11-19,0.06235,0.06246,0.0427,0.04839,797021903.0,39170941.171723
2018-11-22,0.04843,0.04914,0.03699,0.039,420216186.5,18150375.281585
2018-11-25,0.039,0.04017,0.03315,0.03693,683719748.4,25027137.767735
2018-11-28,0.03695,0.04487,0.03691,0.03907,757170718.7,30788312.67723
2018-12-01,0.03907,0.0434,0.03785,0.03848,414773884.0,16882084.355492
2018-12-04,0.03849,0.04019,0.0305,0.03072,618043769.0,22103376.55084919
2018-12-07,0.0307,0.03246,0.02708,0.0311,584813952.76,17459375.718673
2018-12-10,0.03106,0.03199,0.0285,0.03029,306419589.3,9177594.41827
2018-12-13,0.0303,0.03067,0.02761,0.02807,234508368.5,6791230.60088
2018-12-16,0.02806,0.03463,0.02806,0.0343,487166452.9,15419499.298567
2018-12-19,0.0343,0.04479,0.0333,0.04031,1093491248.1,41753472.816886
2018-12-22,0.0403,0.04899,0.03811,0.04499,780946317.5,34047539.753742
2018-12-25,0.045,0.04522,0.03539,0.03611,621549776.7,24735064.225523
2018-12-28,0.03617,0.04355,0.03561,0.04263,604175145.1,24653973.742791
2018-12-31,0.04262,0.04543,0.03964,0.04433,419884435.7,17544912.243175
2019-01-03,0.04432,0.04514,0.04154,0.04403,421642696.0,18192013.37611
2019-01-06,0.044,0.05,0.04378,0.0478,753152346.7,35848524.8247
2019-01-09,0.04781,0.05412,0.04131,0.0433,972096790.9,45464452.34322
2019-01-12,0.04327,0.04399,0.0388,0.04343,450513380.9,18747825.248204
2019-01-15,0.04341,0.04575,0.04101,0.04471,569970869.6,24837407.923959
2019-01-18,0.0447,0.04597,0.04118,0.04287,337081166.5,14834171.024626
2019-01-21,0.0429,0.04401,0.04101,0.04266,292659160.4,12526459.243294
2019-01-24,0.04266,0.04342,0.04209,0.04241,156500181.1,6675034.594132
2019-01-27,0.04238,0.04247,0.0366,0.03796,405157676.4,15788276.92431
2019-01-30,0.03796,0.04023,0.03701,0.03857,290843666.1,11221188.71925
2019-02-02,0.03853,0.0395,0.03761,0.03799,163003674.8,6258986.153899
2019-02-05,0.03798,0.03868,0.03588,0.03646,210529249.5,7798290.051924
2019-02-08,0.03645,0.04309,0.03616,0.0429,406458537.3,16455860.213917
2019-02-11,0.04292,0.04299,0.04053,0.04107,227776583.3,9464604.29039
2019-02-14,0.04105,0.0416,0.0399,0.04101,145152668.9,5913832.480337
2019-02-17,0.04103,0.0485,0.04055,0.04593,566604437.9,25565028.864309
