Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2019-07-05,0.00449,0.0046,0.0033652,0.0035377,3469655939.0,13059446.5586406
2019-07-08,0.0035378,0.003582,0.003251,0.0033421,803096136.0,2781223.5960866
2019-07-11,0.0033358,0.0033598,0.0030909,0.0032532,542165907.0,1750464.6687005
2019-07-14,0.0032474,0.0032788,0.0027323,0.0027994,595766540.0,1782268.2983206
2019-07-17,0.0027995,0.0031251,0.0027063,0.0030232,685310201.0,1998467.3122949
2019-07-20,0.0030131,0.0031528,0.00292,0.0029567,258476885.0,786503.9116038
2019-07-23,0.0029567,0.0029567,0.0027629,0.0028656,380244905.0,1090444.8489936
2019-07-26,0.0028656,0.00296,0.002726,0.0027932,165501182.0,468195.3939342
2019-07-29,0.0027884,0.002884,0.0027457,0.0028583,183142566.0,513504.311503
2019-08-01,0.0028571,0.0030617,0.0028248,0.0028994,204528058.0,591218.388299
2019-08-04,0.0028999,0.0031998,0.0028424,0.0029557,431154582.0,1296792.3922009
2019-08-07,0.0029569,0.0030399,0.0028375,0.002913,242640877.0,710738.2909242
2019-08-10,0.0029211,0.0029432,0.0028085,0.0028516,126454825.0,362051.0461915
2019-08-13,0.0028527,0.0028643,0.0025578,0.0025916,220561897.0,602392.8626417
2019-08-16,0.0025813,0.0027214,0.0025112,0.002695,221758254.0,584649.6579316
2019-08-19,0.0026922,0.0028146,0.0025633,0.0026398,208521149.0,565343.1564144
2019-08-22,0.0026404,0.0027165,0.0025527,0.0026222,181780862.0,477297.010762
2019-08-25,0.0026274,0.0027048,0.0025763,0.0025993,193060434.0,506644.1991691
2019-08-28,0.0026014,0.0026014,0.002339,0.0024449,211913531.0,521439.820388
2019-08-31,0.0024517,0.0026167,0.0024109,0.0025882,125866477.0,311859.7151095
2019-09-03,0.002591,0.0026054,0.0024589,0.0024909,141787968.0,359003.2352537
2019-09-06,0.0024897,0.0025306,0.0024,0.0024585,250790760.0,616951.0116893
2019-09-09,0.0024453,0.0024692,0.0023601,0.0023892,147107277.0,354801.8981506
2019-09-12,0.0023912,0.002437,0.0023265,0.0024192,117586145.0,280175.2460471
2019-09-15,0.0024233,0.00262,0.00239,0.002594,257610666.0,640046.8448362
2019-09-18,0.0025972,0.0028103,0.00254,0.0026497,576252272.0,1551124.2960292
2019-09-21,0.0026497,0.0026619,0.0024474,0.0024474,245634280.0,625653.9233016
2019-09-24,0.0024474,0.0024731,0.0019317,0.0021396,471130083.0,1034922.4331588
2019-09-27,0.0021348,0.0022399,0.0020985,0.0021854,243503583.0,527591.2388589
2019-09-30,0.002203,0.0025001,0.0021264,0.002323,503883101.0,1181149.5431563
2019-10-03,0.002323,0.002325,0.0022353,0.0022922,187237328.0,426619.7104433
2019-10-06,0.0022993,0.0023654,0.0022275,0.0023096,232608668.0,534380.2586166
2019-10-09,0.0023096,0.0023652,0.002225,0.0022909,264651190.0,611455.0443588
2019-10-12,0.002288,0.00275,0.0022751,0.0025415,1858095264.0,4708965.3921793
2019-10-15,0.0025482,0.002974,0.0024652,0.0027405,1086571069.0,2920151.5496135
2019-10-18,0.002735,0.0028665,0.0026311,0.0027151,478842113.0,1307032.0460042
2019-10-21,0.0027079,0.00295,0.0021,0.0024746,1635617376.0,4213351.7254087
2019-10-24,0.0024805,0.002898,0.0024,0.0025925,834235049.0,2195432.9540839
2019-10-27,0.0026061,0.0029542,0.00256,0.002625,519973702.0,1386968.4868531
2019-10-30,0.002625,0.002675,0.0025473,0.0025932,343696895.0,894113.8907751
2019-11-02,0.0025994,0.0026369,0.002538,0.0025751,319680112.0,822527.2224749
2019-11-05,0.0025751,0.0027449,0.00255,0.0026982,558001763.0,1471834.0216579
2019-11-08,0.002704,0.0027849,0.002535,0.0027565,800925520.0,2155155.2258931
2019-11-11,0.0027653,0.0027687,0.0026316,0.0026821,402946576.0,1081641.237563
2019-11-14,0.0026751,0.00271,0.0025767,0.0026606,480407025.0,1268619.2179656
2019-11-17,0.0026517,0.0026619,0.0024883,0.0025165,214840221.0,552602.4548392
2019-11-20,0.0025206,0.00259,0.0021733,0.0023524,356697560.0,849841.7753823
2019-11-23,0.0023528,0.0024,0.002081,0.0022539,439866479.0,1004146.9276183
2019-11-26,0.0022474,0.00236,0.0021866,0.002272,243375714.0,557690.2085172
2019-11-29,0.0022735,0.0023733,0.0022323,0.0022648,229630913.0,529146.1218096
2019-12-02,0.0022708,0.0022708,0.0021123,0.0021682,612418332.0,1331636.21271
2019-12-05,0.0021717,0.0022504,0.0021001,0.002184,269908981.0,584106.2529349
2019-12-08,0.0021834,0.0022499,0.0020903,0.0021368,229473461.0,497749.8086951
2019-12-11,0.0021402,0.0022245,0.0021051,0.0021321,247408312.0,529558.6406321
2019-12-14,0.0021274,0.0022933,0.002048,0.002087,258350702.0,549116.9215488
2019-12-17,0.0020835,0.00218,0.0019,0.0020205,746120289.0,1481021.4058013
2019-12-20,0.0020241,0.0020859,0.0019933,0.0020808,239561627.0,488944.4014441
2019-12-23,0.0020848,0.0021261,0.0019938,0.00204,357260231.0,730356.9574529
2019-12-26,0.0020331,0.0020624,0.0019901,0.0020458,275478876.0,558027.7553845
2019-12-29,0.0020458,0.0020609,0.0019862,0.0020135,258361907.0,522643.8455079
2020-01-01,0.0020136,0.00204,0.0019485,0.0020236,332355891.0,666526.2799952
2020-01-04,0.0020185,0.0021345,0.002015,0.0021344,298412795.0,619027.4116638
2020-01-07,0.0021333,0.0022263,0.0020642,0.0021282,407776923.0,876469.6776492
2020-01-10,0.0021323,0.002225,0.0020983,0.0021963,366204720.0,795243.845822
2020-01-13,0.0022026,0.0024913,0.0021652,0.0023669,627183317.0,1448045.0312695
2020-01-16,0.002376,0.0025225,0.0022871,0.0025115,570351346.0,1379562.7026493
2020-01-19,0.0025137,0.0025833,0.0023206,0.0023673,386800454.0,932890.9946021
2020-01-22,0.0023583,0.0023904,0.0021968,0.0022698,265305036.0,608471.3479771
2020-01-25,0.0022706,0.0024271,0.0022265,0.0023594,326999581.0,757943.7438776
2020-01-28,0.0023594,0.0024477,0.00235,0.002414,324475958.0,778827.7960277
2020-01-31,0.0024164,0.0025018,0.002362,0.0024406,316451209.0,766009.2714433
2020-02-03,0.0024397,0.0026334,0.002398,0.0025826,847242486.0,2133532.8991513
2020-02-06,0.0025823,0.0032674,0.0025696,0.003171,1635234095.0,4802169.2054399
2020-02-09,0.0031745,0.00489,0.0028388,0.00303,2703067176.0,8565888.4318266
2020-02-12,0.00303,0.00321,0.0029443,0.0031067,1496891259.0,4604699.538887
2020-02-15,0.0031099,0.0031769,0.0025241,0.0026999,1012006069.0,2851912.8799052
