Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2017-08-17,301.13,312.18,278.0,290.91,18714.75453,5633624.3995722
2017-08-20,289.41,346.52,144.21,309.8,15685.93501,4886746.0390876
2017-08-23,312.25,338.28,309.41,327.24,22544.96723,7267044.0974885
2017-08-26,327.24,351.0,323.41,346.0,13792.30406,4620229.904581
2017-08-29,347.0,393.71,346.0,384.79,11914.59888,4486037.227359
2017-09-01,386.44,394.39,320.08,341.77,17692.63369,6340938.6929551
2017-09-04,339.29,344.55,235.55,335.0,20568.53973,6193899.95814
2017-09-07,335.01,342.5,272.0,296.74,10760.2426,3335195.9325046
2017-09-10,296.72,316.46,261.03,293.96,14162.41148,4192168.0008087
2017-09-13,293.93,294.5,192.0,253.0,33277.08042,8191160.5049066
2017-09-16,255.99,306.22,235.51,294.57,19102.56399,4979794.3008742
2017-09-19,296.0,300.0,252.1,257.0,4843.03169,1354706.496014
2017-09-22,258.0,294.61,253.01,282.0,9864.39244,2754650.0294998
2017-09-25,282.0,313.0,281.34,309.74,15955.51221,4679574.0319065
2017-09-28,309.81,311.81,274.0,304.36,21710.71619,6437415.8171546
2017-10-01,305.13,306.0,283.18,292.48,14317.75207,4257950.2545768
2017-10-04,292.47,310.8,285.53,310.8,10968.30167,3234808.0665185
2017-10-07,309.9,318.5,286.65,297.19,10012.10137,3058541.0810399
2017-10-10,297.35,310.0,293.0,303.99,18301.71694,5550937.1396516
2017-10-13,303.52,353.96,297.0,337.96,35668.67762,11815441.9675722
2017-10-16,337.5,354.0,284.68,309.7,29718.25993,9510443.0855453
2017-10-19,311.52,315.0,290.0,298.94,26009.69624,7901469.1715404
2017-10-22,298.99,310.0,272.2,297.38,30898.53221,9116667.8543059
2017-10-25,295.43,300.0,281.0,296.33,23788.2678,6999898.1344647
2017-10-28,296.14,316.0,290.1,307.25,23814.1193,7183698.2461185
2017-10-31,305.95,309.99,274.73,283.12,30907.43562,9107174.2308056
2017-11-03,283.12,307.0,282.0,295.53,22660.87328,6708675.4091
2017-11-06,295.19,320.0,287.0,303.02,32895.93756,9838005.0018528
2017-11-09,303.6,329.0,285.82,310.02,37598.62782,11572474.3631723
2017-11-12,310.87,337.54,281.01,335.61,54384.05023,16954762.6190374
2017-11-15,335.6,339.0,321.41,331.23,47784.90371,15770945.6598793
2017-11-18,331.2,373.56,326.01,367.42,52036.26568,18277200.3560749
2017-11-21,367.42,425.0,350.02,405.0,69768.22993,26296036.4106465
2017-11-24,405.03,484.47,392.8,462.84,73518.10707,32902139.411129
2017-11-27,462.84,515.0,385.0,421.7,99041.85803,46081700.5862312
2017-11-30,421.92,471.91,387.01,457.63,104052.5826,45480033.6701657
2017-12-03,457.31,485.9,440.11,452.26,73059.83641,33762599.0604516
2017-12-06,452.26,456.78,375.01,442.56,121047.0961,51040985.307563
2017-12-09,442.56,512.0,403.2,508.7,106600.76626,48243744.6113912
2017-12-12,508.44,747.6,494.89,679.76,178000.47934,111469645.5935899
2017-12-15,679.76,728.0,594.6,707.64,98042.66255,66600973.644791
2017-12-18,707.62,864.9,638.0,790.21,187623.61318,143528429.3436607
2017-12-21,794.62,845.99,504.99,640.34,311854.09114,214453164.0137652
2017-12-24,640.33,750.0,563.49,750.0,234029.26163,158426926.7366014
2017-12-27,750.0,766.05,645.88,733.99,188047.01755,134971911.9152866
2017-12-30,732.9,763.55,635.82,754.99,206417.50337,146372419.0550659
2018-01-02,754.99,1009.72,749.06,940.0,305193.71427,271663126.3629705
2018-01-05,940.0,1125.0,930.0,1123.09,234607.11482,237062898.9902527
2018-01-08,1123.09,1440.0,910.0,1247.0,437719.44772,530749370.7646705
2018-01-11,1249.03,1427.01,1021.0,1388.02,364203.19849,445984112.8988942
2018-01-14,1388.1,1391.89,780.0,1000.0,511517.2657,575069663.414153
2018-01-17,999.99,1079.0,755.0,1032.5,898833.49786,866245575.6855083
2018-01-20,1032.5,1165.4,908.0,993.0,483596.11153,508963617.0826826
2018-01-23,993.0,1115.0,909.0,1056.52,413833.36923,419702388.7834416
2018-01-26,1055.29,1277.0,986.0,1251.96,385518.71225,428563592.5525112
2018-01-29,1251.96,1258.89,1029.0,1124.81,360943.35995,409366728.4064185
2018-02-01,1125.96,1164.99,783.67,971.0,740768.40055,719021201.7184031
2018-02-04,971.0,975.0,570.1,779.25,1200906.98099,869511559.7110627
2018-02-07,779.99,882.2,714.18,877.0,462367.37889,371686143.2561958
2018-02-10,876.3,911.2,768.28,866.66,547728.40689,462178587.8513972
2018-02-13,866.39,946.66,820.0,924.55,416286.57619,370298421.4151655
2018-02-16,924.55,978.5,897.0,911.0,385760.99485,362430543.0295384
2018-02-19,911.0,961.0,812.87,835.89,376356.72187,338081422.3428335
2018-02-22,836.35,885.0,785.99,833.94,381380.84391,318170453.9955728
2018-02-25,833.92,897.49,813.18,870.11,197830.41459,169812038.3778166
2018-02-28,871.84,891.0,848.65,856.28,136841.71718,118789690.5547724
2018-03-03,856.27,871.75,836.24,849.84,94473.11062,81243173.3939202
2018-03-06,849.81,853.18,684.0,695.46,233984.13082,179123470.5218431
2018-03-09,695.48,745.0,640.0,720.85,253525.41144,176381496.1253637
2018-03-12,721.0,740.5,585.0,610.1,213372.29718,144479014.6857091
2018-03-15,610.1,625.3,544.0,546.95,227169.39367,135011469.7287922
2018-03-18,547.98,567.87,450.0,557.0,569042.91211,298679996.2616344
2018-03-21,557.0,590.52,506.71,543.03,334541.43983,182574385.3206402
2018-03-24,543.2,545.99,465.56,485.0,310698.19763,158549290.7628162
2018-03-27,485.0,491.55,380.0,384.0,453426.18243,196083171.3114987
2018-03-30,383.87,419.4,356.9,378.58,610582.38258,236397845.2697201
2018-04-02,378.58,419.08,370.0,378.16,391738.09424,153576593.4142517
2018-04-05,378.15,394.75,362.54,384.51,266236.17864,100499123.0673425
2018-04-08,384.51,431.99,384.0,416.07,290443.32954,117131933.5162476
2018-04-11,415.53,530.0,410.38,495.11,588225.15725,277614614.553904
2018-04-14,494.69,538.0,485.58,511.46,360382.01324,183885920.0533857
2018-04-17,512.09,571.61,500.02,568.14,281939.68961,147991612.0074696
2018-04-20,568.14,643.49,556.5,620.92,439701.36584,264361353.2674658
2018-04-23,620.67,712.99,593.83,618.0,590352.88193,386150762.3550245
2018-04-26,617.73,694.9,600.0,682.86,403685.85541,264302747.4285474
2018-04-29,683.5,700.49,627.58,672.0,355638.82264,238955033.132747
2018-05-02,671.99,810.0,663.0,785.99,495529.11445,369813848.7681721
2018-05-05,785.8,839.99,701.0,752.49,579739.41094,446848116.3461824
2018-05-08,753.0,777.0,710.26,722.52,349478.87312,260748857.1748766
2018-05-11,722.52,742.0,633.2,729.08,519777.01685,357954679.1361807
2018-05-14,729.08,743.9,673.52,706.29,429560.60998,305581877.4705896
2018-05-17,706.8,719.25,656.0,697.0,302093.90323,208464977.5873407
2018-05-20,697.0,729.88,637.32,640.99,289149.47231,201139216.6788206
2018-05-23,640.86,669.0,550.0,585.55,571030.65866,340081100.9561433
2018-05-26,585.56,607.62,506.11,511.5,327949.22523,183893135.5946034
2018-05-29,511.5,586.73,510.0,577.81,411316.63074,229124869.7524345
2018-06-01,577.81,628.81,564.93,619.66,248222.32116,147342106.8034388
2018-06-04,619.66,625.47,570.36,607.4,255546.10975,153116184.2721046
2018-06-07,606.68,618.0,591.0,592.87,148310.26165,89618211.7589557
2018-06-10,592.44,592.87,482.0,493.0,494386.8106,261554302.9335892
2018-06-13,493.0,529.0,449.06,487.48,548467.80354,268936751.4809693
2018-06-16,487.47,524.48,483.72,517.95,392239.06666,196066777.1199498
2018-06-19,517.77,548.2,510.01,526.18,351903.32848,186254700.6903365
2018-06-22,526.32,526.44,419.53,454.41,505388.9035,235128688.9385679
2018-06-25,454.29,474.47,420.19,441.64,306101.58063,136691310.2762092
2018-06-28,441.36,463.15,404.48,454.09,428974.07898,185879003.9023403
2018-07-01,454.2,486.98,443.73,461.82,480766.29342,222712592.1790934
2018-07-04,461.78,482.7,451.29,470.47,328120.85831,153794873.7705175
2018-07-07,470.48,495.98,461.5,471.71,317865.23117,152790094.6875788
2018-07-10,471.73,473.23,416.94,431.14,514540.6527,225944231.8252415
2018-07-13,431.14,455.0,424.62,449.78,412989.28977,180745482.2680496
2018-07-16,449.79,515.47,444.03,479.41,623896.58814,301360125.1403972
2018-07-19,479.4,484.15,440.0,460.23,406441.09016,189083312.2939653
2018-07-22,460.23,484.27,447.11,479.28,325533.11576,151454116.9130539
2018-07-25,479.24,485.77,455.84,470.09,542756.56067,255922140.1422825
2018-07-28,470.09,472.0,446.1,456.23,475191.9511,220366012.5062672
2018-07-31,456.19,457.3,406.55,410.62,602904.76341,256569113.3853227
2018-08-03,410.62,420.01,396.61,408.79,539568.95875,220832822.3526652
2018-08-06,408.77,413.28,347.25,355.48,649249.64331,251233260.1853705
2018-08-09,355.48,369.9,304.45,317.69,844177.01188,288044857.9119256
2018-08-12,317.49,327.13,250.0,278.41,928412.39749,265378125.2440806
2018-08-15,278.47,318.0,276.3,317.51,1016842.35734,296924605.8522813
2018-08-18,317.51,321.33,269.5,270.51,891658.62606,264475206.2781537
2018-08-21,270.51,298.89,259.5,275.99,905942.96883,251663249.4010379
2018-08-24,276.06,283.1,268.69,274.29,757751.6582,209306285.271878
2018-08-27,274.17,298.0,271.59,288.4,923619.41022,264274285.8839595
2018-08-30,288.35,302.0,271.88,295.71,934600.95461,265862002.453877
2018-09-02,295.8,299.33,283.0,285.3,758155.95174,219702122.261142
2018-09-05,285.18,287.62,212.0,215.22,1480111.00268,350151321.1601218
2018-09-08,215.19,220.2,185.02,197.15,1166604.74159,232197353.089174
2018-09-11,197.22,215.0,167.32,210.68,1720296.92432,325586505.3746407
2018-09-14,210.91,227.42,202.6,220.17,1700530.93215,366580705.6192021
2018-09-17,220.24,225.0,192.4,209.79,1905487.39098,394930624.8584804
2018-09-20,209.79,255.13,205.56,241.01,1838402.11214,419443346.5758532
2018-09-23,241.01,249.73,203.61,219.62,1296004.00937,291580846.3277339
2018-09-26,219.5,234.42,205.01,221.84,1814463.34318,399930354.3924095
2018-09-29,221.89,239.0,214.18,231.61,1359096.85798,312381256.9281592
2018-10-02,231.62,232.51,216.51,222.66,835052.01895,187959682.2926832
2018-10-05,222.66,231.75,219.35,226.14,312721.60009,70331485.3890716
2018-10-08,226.26,232.7,224.05,226.74,433983.82044,98724292.0111767
2018-10-11,226.7,226.91,189.01,201.3,820922.74711,165194684.2151251
2018-10-14,201.39,239.0,194.33,215.09,1230392.03968,265662840.9868731
2018-10-17,215.2,216.99,203.53,205.0,558658.93758,116860013.7487757
2018-10-20,205.1,211.99,203.57,206.67,351700.95771,73110020.9570221
2018-10-23,206.67,207.95,202.14,203.93,287293.44055,59015893.4134348
2018-10-26,203.84,209.0,203.0,204.99,185774.34977,38072431.1143048
2018-10-29,204.99,205.49,193.01,198.73,316655.34159,62805399.5173368
2018-11-01,198.7,203.74,197.88,200.31,255306.14374,51132364.3319702
2018-11-04,200.27,221.25,199.0,220.74,521764.25747,110208724.842901
2018-11-07,220.77,224.8,209.1,210.77,546975.47556,118493012.4312392
2018-11-10,210.78,215.55,209.0,212.89,367617.26252,78166030.079612
2018-11-13,212.91,213.8,170.99,184.35,1001558.64324,188381677.4686698
2018-11-16,184.35,185.0,173.0,178.97,528251.38012,94164349.6776801
2018-11-19,179.04,179.33,126.95,138.23,2312299.91189,331650116.9770038
2018-11-22,138.36,140.4,112.32,114.89,1310347.88335,164759212.5665459
2018-11-25,114.83,122.35,102.36,111.43,2039749.45739,227572817.4502177
2018-11-28,111.38,126.8,111.09,113.73,1475923.77267,173987841.7985233
2018-12-01,113.71,120.8,106.7,108.76,928262.72216,106983703.5814836
2018-12-04,108.76,113.2,90.2,91.0,1215531.12914,125999604.5750318
2018-12-07,91.18,98.7,82.07,93.26,2248810.07019,202257077.7372421
2018-12-10,93.26,95.21,85.83,89.41,1034000.91204,92735931.6055735
2018-12-13,89.39,90.71,81.79,83.76,866582.69285,74300171.6316386
2018-12-16,83.75,101.3,83.73,100.39,1243565.78868,113952222.9006418
2018-12-19,100.39,118.0,97.75,107.69,2353409.88087,252501227.3693504
2018-12-22,107.67,157.67,105.38,138.03,2661376.75257,353202325.230667
2018-12-25,138.01,139.26,111.22,113.8,2623176.08521,329254492.3260841
2018-12-28,113.75,145.42,111.87,137.77,2605368.10509,343148772.9334667
2018-12-31,137.81,155.37,128.7,152.01,1827868.04283,257844974.8334171
2019-01-03,152.01,159.26,143.11,152.83,2286509.39271,346019016.4749592
2019-01-06,152.83,157.4,145.2,147.6,1494334.84402,225527832.1348369
2019-01-09,147.62,151.5,120.08,124.65,1716489.29707,226892908.0119084
2019-01-12,124.67,130.05,111.87,126.95,1269244.51035,153618610.9353371
2019-01-15,126.95,129.4,116.0,121.54,1610042.41158,196153824.7653257
2019-01-18,121.56,125.29,115.68,117.47,1010743.33048,121854799.7404809
2019-01-21,117.56,119.49,111.39,116.44,893423.18914,104011197.2911938
2019-01-24,116.4,118.0,113.61,115.34,561076.20756,64999827.9055611
2019-01-27,115.32,116.15,100.91,104.45,1133344.30191,121635611.4618965
2019-01-30,104.41,110.61,103.45,106.73,864797.69635,92394408.7969878
2019-02-02,106.71,111.15,105.82,107.68,574970.40087,62072501.1917975
2019-02-05,107.65,108.18,101.21,104.48,644876.56797,67651533.1919673
2019-02-08,104.48,126.49,103.41,125.12,1303837.70284,152018928.4603596
2019-02-11,125.12,126.47,118.18,121.86,1050998.29347,127874306.4960556
2019-02-14,121.86,124.99,120.1,122.67,767822.57012,93851640.8992908
2019-02-17,122.67,150.0,122.43,143.44,2442587.65543,341359760.0705552
2019-02-20,143.45,149.61,139.6,147.36,1427919.20422,208107862.6866569
2019-02-23,147.4,166.0,131.7,137.87,2649837.63111,387034473.30764
2019-02-26,137.88,140.29,126.84,135.34,1579474.09817,214361230.1834085
2019-03-01,135.32,137.95,128.01,130.6,822090.59514,110114147.5038673
2019-03-04,130.6,140.29,122.6,137.4,1345405.90038,177502322.747156
2019-03-07,137.37,140.2,130.62,137.27,917481.19592,125371942.6355591
2019-03-10,137.27,137.5,130.77,133.57,663458.14341,88917996.2309561
2019-03-13,133.62,137.62,128.52,136.56,763702.18278,101698671.5737839
2019-03-16,136.6,144.47,136.1,137.59,1009080.1454,140947248.3046146
2019-03-19,137.62,139.66,131.21,134.85,753992.3633,103569257.3792219
2019-03-22,134.85,138.21,134.29,136.09,559320.62928,76274017.7805441
2019-03-25,136.12,140.14,131.6,139.45,731186.85251,99208007.0829111
2019-03-28,139.46,145.89,137.3,142.46,653837.44517,92024367.7948
2019-03-31,142.44,165.6,139.57,163.31,1283648.26192,191461609.6449889
2019-04-03,163.26,177.81,149.23,164.77,2547495.83646,418729181.1161044
2019-04-06,164.84,185.87,159.2,178.72,1867085.93079,322951812.7138172
2019-04-09,178.71,183.77,158.27,164.07,1617234.86927,279231116.107069
2019-04-12,164.06,168.11,158.11,167.23,682553.28608,111444934.3597239
2019-04-15,167.21,168.81,155.7,165.75,819760.96212,134138958.2027666
2019-04-18,165.75,176.97,165.04,172.88,970257.1498,166962572.3583523
2019-04-21,172.89,175.83,164.82,169.16,916842.1835,156398341.6295868
2019-04-24,169.15,169.87,150.35,157.95,1349509.93675,215736857.8073793
2019-04-27,157.93,166.24,152.0,155.11,612486.88921,96490923.4270165
2019-04-30,155.14,163.88,155.11,161.81,787092.89441,126034077.0567395
2019-05-03,161.82,171.3,159.18,163.05,905315.20917,149440853.7843089
2019-05-06,163.05,182.76,157.55,170.85,1535461.31523,265631282.3883228
2019-05-09,170.88,205.23,166.57,190.2,1595500.11866,289380300.9577065
2019-05-12,190.2,219.81,181.0,216.4,2356848.75275,468430745.1745473
2019-05-15,216.4,279.76,216.21,244.3,3837950.76185,953894018.8721106
2019-05-18,244.31,264.0,230.62,250.37,2163966.98565,533616174.7104332
2019-05-21,250.48,262.0,231.1,244.56,1773292.54726,439808212.793307
2019-05-24,244.63,269.4,241.54,264.45,1229701.53651,310048644.9983674
2019-05-27,264.35,279.59,260.0,268.83,1428319.65337,383737136.0130173
2019-05-30,268.92,288.62,240.14,264.33,2124110.35244,566564780.8920773
2019-06-02,264.33,273.2,234.39,241.39,1332719.51583,339272905.3833967
2019-06-05,241.46,253.28,235.01,248.77,986911.18341,241901195.8693615
2019-06-08,248.78,250.53,226.56,246.51,820042.66023,195978354.8699206
2019-06-11,246.61,262.98,236.49,254.67,865764.94593,217657593.3435552
2019-06-14,254.67,277.06,251.75,267.73,1072154.80501,283947057.5648675
2019-06-17,267.73,276.0,261.45,268.14,867594.90244,232809042.796801
2019-06-20,268.16,314.39,265.71,310.79,1446790.51338,424676132.8255338
2019-06-23,310.7,321.7,298.0,318.26,1117162.94758,347835076.399508
2019-06-26,318.29,366.8,280.01,311.05,2554552.21343,818547371.0285873
2019-06-29,310.95,324.74,280.13,295.07,1404353.0052,422824894.3844665
2019-07-02,295.03,302.89,272.65,282.73,1135086.30094,328789688.8938885
2019-07-05,282.86,309.69,280.78,304.72,703315.29641,205473703.0600797
2019-07-08,304.72,318.19,281.04,289.23,1056135.63167,320869213.8950435
2019-07-11,289.23,289.23,262.12,268.79,974286.56273,264518089.780434
2019-07-14,268.8,269.74,192.25,198.88,1971648.62307,442044292.2822402
2019-07-17,198.94,229.65,191.84,220.73,1675557.81091,357258218.3247221
2019-07-20,220.84,235.09,212.25,217.51,866750.52861,194206405.3285713
2019-07-23,217.59,225.12,202.0,219.14,929409.42709,199229448.046985
