Fecha,Abre,Alto,Bajo,Cierra,Volumen
2018-04-17 00:00:00,0.25551,0.288,0.25551,0.262,16461616.84
2018-04-17 06:00:00,0.26221,0.26396,0.248,0.26129,23410432.23
2018-04-17 12:00:00,0.26097,0.2666,0.253,0.2574,13582400.18
2018-04-17 18:00:00,0.25742,0.2577,0.23983,0.2426,14007843.99
2018-04-18 00:00:00,0.2426,0.251,0.24201,0.24607,5029431.35
2018-04-18 06:00:00,0.24607,0.254,0.24309,0.24999,7552886.37
2018-04-18 12:00:00,0.25037,0.2549,0.24628,0.25288,8038196.76
2018-04-18 18:00:00,0.25304,0.2646,0.25206,0.262,10707581.31
2018-04-19 00:00:00,0.26199,0.275,0.2604,0.2662,16520313.37
2018-04-19 06:00:00,0.26619,0.267,0.25777,0.26382,13057372.98
2018-04-19 12:00:00,0.26387,0.275,0.26326,0.27079,12737877.21
2018-04-19 18:00:00,0.27156,0.2743,0.26801,0.27004,8544416.66
2018-04-20 00:00:00,0.27004,0.285,0.26648,0.27396,21523974.26
2018-04-20 06:00:00,0.27388,0.2865,0.27023,0.28509,13984748.6
2018-04-20 12:00:00,0.28509,0.295,0.28343,0.2919,16125117.74
2018-04-20 18:00:00,0.2919,0.30442,0.29101,0.30108,19450435.89
2018-04-21 00:00:00,0.30161,0.307,0.28769,0.29637,20694250.57
2018-04-21 06:00:00,0.29637,0.30248,0.26509,0.277,39241509.02
2018-04-21 12:00:00,0.277,0.294,0.27409,0.28136,23300540.1
2018-04-21 18:00:00,0.2813,0.28849,0.2759,0.28668,9483543.22
2018-04-22 00:00:00,0.28669,0.28718,0.27716,0.28164,10235990.06
2018-04-22 06:00:00,0.28164,0.2973,0.28107,0.29155,15044533.22
2018-04-22 12:00:00,0.29198,0.29379,0.28251,0.2912,14524893.5
2018-04-22 18:00:00,0.2912,0.29199,0.28013,0.2816,8888411.68
2018-04-23 00:00:00,0.2816,0.28675,0.28064,0.28293,6485248.86
2018-04-23 06:00:00,0.28293,0.28867,0.2819,0.28616,11917294.87
2018-04-23 12:00:00,0.2865,0.2885,0.28321,0.28407,9369116.7
2018-04-23 18:00:00,0.28414,0.28855,0.28112,0.28788,6569600.42
2018-04-24 00:00:00,0.28798,0.30195,0.28593,0.2991,23268596.31
2018-04-24 06:00:00,0.29948,0.3124,0.29401,0.3112,15728240.41
2018-04-24 12:00:00,0.3112,0.32,0.29829,0.31407,31789068.47
2018-04-24 18:00:00,0.31405,0.31989,0.305,0.30853,19740154.6
2018-04-25 00:00:00,0.3085,0.31099,0.265,0.28501,46540104.01
2018-04-25 06:00:00,0.28501,0.29135,0.26534,0.27686,27976039.13
2018-04-25 12:00:00,0.27646,0.28299,0.2573,0.28,33776548.86
2018-04-25 18:00:00,0.28,0.28708,0.26512,0.2687,16395818.26
2018-04-26 00:00:00,0.2687,0.279,0.255,0.27368,21436901.78
2018-04-26 06:00:00,0.27368,0.27846,0.26225,0.2738,15580003.32
2018-04-26 12:00:00,0.27377,0.28257,0.27114,0.28,16311079.04
2018-04-26 18:00:00,0.28,0.2939,0.27751,0.29326,14781641.12
2018-04-27 00:00:00,0.29326,0.29396,0.28145,0.28548,14201231.62
2018-04-27 06:00:00,0.28565,0.295,0.28535,0.2929,13268477.56
2018-04-27 12:00:00,0.2929,0.30643,0.29101,0.3036,24243060.58
2018-04-27 18:00:00,0.3036,0.30363,0.2821,0.28445,18068552.1
2018-04-28 00:00:00,0.2844,0.301,0.2817,0.3,17230786.56
2018-04-28 06:00:00,0.3,0.31745,0.29973,0.31251,30646681.68
2018-04-28 12:00:00,0.31251,0.36498,0.31213,0.34902,85971975.45
2018-04-28 18:00:00,0.34906,0.3645,0.34106,0.35676,35088432.54
2018-04-29 00:00:00,0.35675,0.3866,0.35659,0.3749,49829734.48
2018-04-29 06:00:00,0.37412,0.38525,0.3415,0.35447,59913210.28
2018-04-29 12:00:00,0.35447,0.37199,0.35193,0.36451,39436080.23
2018-04-29 18:00:00,0.36444,0.36812,0.361,0.36254,13661197.0
2018-04-30 00:00:00,0.36251,0.3637,0.34,0.35545,28848794.39
2018-04-30 06:00:00,0.35545,0.35701,0.3328,0.355,29854784.79
2018-04-30 12:00:00,0.35542,0.35689,0.3455,0.34846,17222261.79
2018-04-30 18:00:00,0.3485,0.34989,0.33,0.34145,17216774.42
2018-05-01 00:00:00,0.34145,0.34199,0.3187,0.32106,37043682.12
2018-05-01 06:00:00,0.3214,0.359,0.3201,0.34093,35212097.76
2018-05-01 12:00:00,0.34003,0.3595,0.33166,0.353,30186633.92
2018-05-01 18:00:00,0.353,0.36034,0.3469,0.35504,17926307.95
2018-05-02 00:00:00,0.35498,0.36,0.345,0.35099,12938490.92
2018-05-02 06:00:00,0.35102,0.36995,0.35056,0.36507,18781565.14
2018-05-02 12:00:00,0.36587,0.37429,0.3584,0.37,21340835.75
2018-05-02 18:00:00,0.37,0.37586,0.36512,0.37199,12396794.48
2018-05-03 00:00:00,0.37199,0.3885,0.36801,0.3749,25982871.06
2018-05-03 06:00:00,0.37465,0.37807,0.36402,0.36918,17114217.41
2018-05-03 12:00:00,0.36916,0.3786,0.36842,0.36999,27939794.33
2018-05-03 18:00:00,0.37,0.375,0.365,0.36716,17289526.85
