Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2021-05-10 06:00:00,1.412e-05,5e-05,1.412e-05,2.971e-05,15274305779676.0,498117069.24207497
2021-05-10 12:00:00,2.972e-05,3.923e-05,2.404e-05,2.692e-05,42317069530913.0,1303182889.629925
2021-05-10 18:00:00,2.692e-05,3.924e-05,2.52e-05,3.466e-05,37710936607079.0,1228841794.9305644
2021-05-11 00:00:00,3.468e-05,3.799e-05,3.103e-05,3.437e-05,20635509027545.0,714679938.7972476
2021-05-11 06:00:00,3.437e-05,3.529e-05,2.78e-05,3.318e-05,20052243621588.0,645321556.8643329
2021-05-11 12:00:00,3.318e-05,3.344e-05,2.86e-05,3.222e-05,13766843302472.0,431876354.21323436
2021-05-11 18:00:00,3.221e-05,3.48e-05,3.025e-05,3.042e-05,10058189986877.0,331339005.3303972
2021-05-12 00:00:00,3.04e-05,3.149e-05,2.505e-05,2.786e-05,17637324687805.0,496497486.28731364
2021-05-12 06:00:00,2.786e-05,3.15e-05,2.641e-05,2.84e-05,13638939824228.0,395560997.73362297
2021-05-12 12:00:00,2.84e-05,2.876e-05,2.172e-05,2.236e-05,15797941303700.0,407183168.5591984
2021-05-12 18:00:00,2.236e-05,2.455e-05,1.752e-05,1.821e-05,39834939143032.0,830403297.5397305
2021-05-13 00:00:00,1.817e-05,2.357e-05,1.53e-05,1.924e-05,23474925398871.0,470572588.2243825
2021-05-13 06:00:00,1.925e-05,2.011e-05,1.534e-05,1.694e-05,21046794054224.0,365035840.75156105
2021-05-13 12:00:00,1.693e-05,2.195e-05,1.669e-05,1.889e-05,26302349475654.0,503180256.5700442
2021-05-13 18:00:00,1.889e-05,2.3e-05,1.833e-05,2.102e-05,20430812076999.0,422257282.7739749
2021-05-14 00:00:00,2.103e-05,2.224e-05,1.951e-05,2.039e-05,12478658472960.0,257839016.56486797
2021-05-14 06:00:00,2.039e-05,2.143e-05,2.001e-05,2.046e-05,9980259855948.0,205801968.7826008
2021-05-14 12:00:00,2.047e-05,2.062e-05,1.901e-05,1.911e-05,10054711834425.0,199944992.6501927
2021-05-14 18:00:00,1.909e-05,1.97e-05,1.816e-05,1.84e-05,8414224113242.0,158983837.55022895
2021-05-15 00:00:00,1.841e-05,1.897e-05,1.7e-05,1.882e-05,9135713448893.0,163122214.48885694
2021-05-15 06:00:00,1.881e-05,1.883e-05,1.709e-05,1.771e-05,7700608695825.0,137111533.09567332
2021-05-15 12:00:00,1.77e-05,1.783e-05,1.501e-05,1.63e-05,16265330475606.0,264406244.1322378
2021-05-15 18:00:00,1.628e-05,1.754e-05,1.551e-05,1.553e-05,10625622911637.0,175832834.84371102
2021-05-16 00:00:00,1.552e-05,1.692e-05,1.521e-05,1.596e-05,6292274774014.0,100457877.512171
2021-05-16 06:00:00,1.597e-05,1.66e-05,1.57e-05,1.617e-05,5487703554785.0,88527208.76526177
2021-05-16 12:00:00,1.616e-05,1.621e-05,1.51e-05,1.538e-05,8525243777901.0,132857597.31354412
2021-05-16 18:00:00,1.538e-05,1.962e-05,1.237e-05,1.784e-05,41329530553996.0,638193317.3171495
2021-05-17 00:00:00,1.783e-05,1.785e-05,1.408e-05,1.566e-05,21900891686141.0,351782013.42091227
2021-05-17 06:00:00,1.566e-05,1.7e-05,1.547e-05,1.616e-05,10981505486672.0,177439906.18498698
2021-05-17 12:00:00,1.616e-05,1.695e-05,1.459e-05,1.493e-05,11736427501058.0,184842167.82135424
2021-05-17 18:00:00,1.493e-05,1.808e-05,1.48e-05,1.651e-05,15537997442114.0,255756498.12294042
2021-05-18 00:00:00,1.65e-05,1.8e-05,1.626e-05,1.742e-05,6040589090777.0,103041834.94174188
2021-05-18 06:00:00,1.743e-05,1.75e-05,1.673e-05,1.703e-05,5968980325418.0,101941803.88921553
2021-05-18 12:00:00,1.703e-05,1.703e-05,1.546e-05,1.608e-05,10809191158517.0,173438087.25289023
2021-05-18 18:00:00,1.608e-05,1.615e-05,1.517e-05,1.56e-05,5157851866277.0,81619666.74363485
2021-05-19 00:00:00,1.562e-05,1.58e-05,1.203e-05,1.306e-05,16872961142654.0,230647000.14830843
2021-05-19 06:00:00,1.306e-05,1.362e-05,9.46e-06,1.103e-05,17325151730510.0,211125953.87106884
2021-05-19 12:00:00,1.103e-05,1.269e-05,6.3e-06,1.114e-05,39602566016848.0,407674654.9531085
2021-05-19 18:00:00,1.114e-05,1.15e-05,9.05e-06,9.07e-06,16738622117312.0,171407695.84970307
2021-05-20 00:00:00,9.07e-06,1.05e-05,8e-06,1.05e-05,17113645629359.0,156477175.77996898
2021-05-20 06:00:00,1.05e-05,1.133e-05,9.53e-06,1.029e-05,17981514671429.0,186278882.85025954
2021-05-20 12:00:00,1.029e-05,1.219e-05,9.3e-06,1.015e-05,23541594811344.0,253591951.93886453
2021-05-20 18:00:00,1.014e-05,1.031e-05,9.37e-06,9.64e-06,8569211954758.0,84817632.90633784
2021-05-21 00:00:00,9.64e-06,1.035e-05,9.51e-06,9.72e-06,6819066504168.0,67398262.2492648
2021-05-21 06:00:00,9.73e-06,9.74e-06,9e-06,9.33e-06,7588364862973.0,70918269.71600692
2021-05-21 12:00:00,9.33e-06,9.52e-06,7.2e-06,8.09e-06,22283731135633.0,182321043.35962456
2021-05-21 18:00:00,8.08e-06,8.63e-06,6.55e-06,8.2e-06,17912741398685.0,135591066.54785085
2021-05-22 00:00:00,8.21e-06,8.29e-06,6.72e-06,7.09e-06,7844679489634.0,58697821.88818656
2021-05-22 06:00:00,7.1e-06,8e-06,6.8e-06,7.57e-06,9251734022943.0,67624852.72451113
2021-05-22 12:00:00,7.56e-06,7.72e-06,7.06e-06,7.25e-06,7509319910184.0,55569365.56467334
2021-05-22 18:00:00,7.25e-06,9.83e-06,7.22e-06,8.42e-06,21712446999053.0,185370260.98006138
2021-05-23 00:00:00,8.42e-06,9.65e-06,8e-06,9.17e-06,11352523755476.0,100291278.7832958
2021-05-23 06:00:00,9.18e-06,9.21e-06,7.5e-06,8.15e-06,17803074671857.0,145544246.23762032
2021-05-23 12:00:00,8.15e-06,8.25e-06,6.94e-06,7.51e-06,20113777871446.0,152251647.3472023
2021-05-23 18:00:00,7.52e-06,8.45e-06,7.3e-06,8.09e-06,11279754072067.0,89371535.56790543
2021-05-24 00:00:00,8.08e-06,8.56e-06,7.73e-06,7.93e-06,5742140042145.0,46374494.20634238
2021-05-24 06:00:00,7.93e-06,8.74e-06,7.83e-06,8.49e-06,9655563954737.0,80809960.64465202
2021-05-24 12:00:00,8.49e-06,9.78e-06,8.4e-06,9.55e-06,19718085019057.0,179208266.30412656
2021-05-24 18:00:00,9.55e-06,1.208e-05,9.54e-06,1.065e-05,31805049448615.0,346760990.6908921
