Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2020-08-11 06:00:00,2.85,3.47,2.8433,3.0497,151914.09,449342.160367
2020-08-11 12:00:00,3.0497,3.5208,2.8625,3.2978,1075393.71,3464086.306453
2020-08-11 18:00:00,3.3,3.3191,2.95,3.2985,325076.98,1025720.471287
2020-08-12 00:00:00,3.2985,3.32,3.08,3.2296,284425.57,910225.452736
2020-08-12 06:00:00,3.2192,3.9289,3.1323,3.6842,925492.71,3296683.171624
2020-08-12 12:00:00,3.6733,3.9,3.6434,3.7446,381658.81,1427384.4782
2020-08-12 18:00:00,3.7195,3.8423,3.6,3.7558,145465.86,541860.622078
2020-08-13 00:00:00,3.75,3.9364,3.5537,3.7458,358093.91,1347660.272426
2020-08-13 06:00:00,3.7547,4.1387,3.5003,3.87,711230.7,2743588.994414
2020-08-13 12:00:00,3.87,4.0555,3.7698,3.8118,361345.03,1405277.765173
2020-08-13 18:00:00,3.8225,3.87,3.5385,3.73,255089.6,950040.948477
2020-08-14 00:00:00,3.7207,3.7676,3.5717,3.6759,270075.89,981569.395668
2020-08-14 06:00:00,3.6758,3.7598,3.4267,3.7173,514933.77,1838549.523062
2020-08-14 12:00:00,3.7036,3.7133,3.327,3.4031,391618.16,1378117.641744
2020-08-14 18:00:00,3.3947,3.4897,3.321,3.4099,297533.97,1007597.535503
2020-08-15 00:00:00,3.4181,3.5713,3.163,3.4199,423594.11,1413052.146922
2020-08-15 06:00:00,3.42,3.74,3.4098,3.45,359281.9,1282085.314662
2020-08-15 12:00:00,3.4527,3.4852,3.38,3.3949,122170.67,420229.08981
2020-08-15 18:00:00,3.4143,3.4727,3.15,3.173,165186.52,542639.070808
2020-08-16 00:00:00,3.173,3.4907,3.12,3.3178,283352.23,921085.882112
2020-08-16 06:00:00,3.3076,3.47,3.3,3.4193,194744.57,660110.131066
2020-08-16 12:00:00,3.4193,3.4628,3.34,3.4469,129611.43,440084.58586
2020-08-16 18:00:00,3.4469,3.4726,3.36,3.3885,60398.3,206435.028772
2020-08-17 00:00:00,3.3885,3.3952,3.2481,3.2825,191105.22,635397.527227
2020-08-17 06:00:00,3.2683,3.3234,3.2,3.2891,170254.36,555358.446272
2020-08-17 12:00:00,3.2891,3.2934,3.1,3.157,249888.7,792266.867487
2020-08-17 18:00:00,3.157,3.2,3.1,3.11,118165.36,372306.946644
2020-08-18 00:00:00,3.11,3.1277,3.0,3.0122,301594.65,919448.132083
2020-08-18 06:00:00,3.0085,3.25,2.878,3.0672,467882.33,1432795.351603
2020-08-18 12:00:00,3.0501,3.7092,2.8105,3.381,1688124.76,5650822.702968
2020-08-18 18:00:00,3.3913,3.5832,3.32,3.3407,255514.2,882239.94657
