Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2018-04-17 00:00:00,0.25551,0.288,0.248,0.25698,29567756.16,7770295.8993985
2018-04-17 08:00:00,0.25636,0.2666,0.25229,0.2557,20452578.8,5264200.9031019
2018-04-17 16:00:00,0.2557,0.258,0.23983,0.2426,17441958.28,4377326.7690792
2018-04-18 00:00:00,0.2426,0.25275,0.24201,0.25072,8966357.49,2228886.0692137
2018-04-18 08:00:00,0.25071,0.2549,0.24628,0.24887,9544273.17,2389755.8694422
2018-04-18 16:00:00,0.24924,0.2646,0.24885,0.262,12817465.13,3303492.3443874
2018-04-19 00:00:00,0.26199,0.275,0.258,0.262,23874771.71,6371554.5124084
2018-04-19 08:00:00,0.262,0.2725,0.25777,0.26892,14195892.33,3776227.3667548
2018-04-19 16:00:00,0.26889,0.275,0.26801,0.27004,12789316.18,3462126.0206255
2018-04-20 00:00:00,0.27004,0.285,0.26648,0.277,25732616.38,7104727.6318317
2018-04-20 08:00:00,0.2773,0.29102,0.27023,0.28494,20209774.77,5737306.0053022
2018-04-20 16:00:00,0.28494,0.30442,0.28437,0.30108,25141885.34,7428854.0663796
2018-04-21 00:00:00,0.30161,0.307,0.28769,0.29576,29934376.01,8881739.1893621
2018-04-21 08:00:00,0.29564,0.2958,0.26509,0.29039,44905032.35,12583186.4025251
2018-04-21 16:00:00,0.29044,0.294,0.2759,0.28668,17880434.55,5074464.5353224
2018-04-22 00:00:00,0.28669,0.28751,0.27716,0.2855,13042383.97,3679242.1226323
2018-04-22 08:00:00,0.28553,0.2973,0.28251,0.29032,23302099.24,6768471.8096733
2018-04-22 16:00:00,0.29006,0.29236,0.28013,0.2816,12349345.25,3547770.474506
2018-04-23 00:00:00,0.2816,0.287,0.28064,0.28589,9990132.0,2832867.9665427
2018-04-23 08:00:00,0.28589,0.28867,0.2833,0.28509,14602291.76,4176040.5054969
2018-04-23 16:00:00,0.2852,0.28855,0.28112,0.28788,9748837.09,2779875.7447214
2018-04-24 00:00:00,0.28798,0.30195,0.28593,0.2954,26845697.0,7960054.5484274
2018-04-24 08:00:00,0.2954,0.32,0.2954,0.31159,38053682.78,11701344.3911571
2018-04-24 16:00:00,0.31172,0.31989,0.305,0.30853,25626680.01,8067165.3297682
2018-04-25 00:00:00,0.3085,0.31099,0.265,0.28931,53119044.94,15421824.1955251
2018-04-25 08:00:00,0.28931,0.29098,0.2573,0.27402,47392081.68,12829402.124707
2018-04-25 16:00:00,0.27427,0.28708,0.26512,0.2687,24177383.64,6684054.596873
2018-04-26 00:00:00,0.2687,0.279,0.255,0.27315,26448175.35,7094157.4794749
2018-04-26 08:00:00,0.27315,0.279,0.26225,0.276,21364211.75,5830363.8478221
2018-04-26 16:00:00,0.27575,0.2939,0.27425,0.29326,20297238.16,5779542.1327561
2018-04-27 00:00:00,0.29326,0.29396,0.28145,0.28844,16971555.86,4904599.5143077
2018-04-27 08:00:00,0.28846,0.30643,0.28845,0.29758,28649350.43,8499778.0875853
2018-04-27 16:00:00,0.29758,0.30544,0.2821,0.28445,24160415.57,7099937.6810121
2018-04-28 00:00:00,0.2844,0.30985,0.2817,0.30845,29331865.44,8783910.6453524
2018-04-28 08:00:00,0.30844,0.3478,0.30425,0.345,70552702.52,23166281.4965671
2018-04-28 16:00:00,0.345,0.36498,0.34106,0.35676,69053308.27,24457195.5856147
2018-04-29 00:00:00,0.35675,0.3866,0.35659,0.3805,62506185.82,23525883.7421404
2018-04-29 08:00:00,0.3803,0.38141,0.3415,0.36772,76107601.79,27296866.1695872
