Fecha,Abre,Alto,Bajo,Cierra,BTC_Volumen,USDT_Volumen
2017-11-06 00:00:00,1.5,1.799,0.5,1.625,53131.67,84484.860555
2017-11-06 08:00:00,1.6011,1.676,1.5645,1.6148,43928.95,70487.419247
2017-11-06 16:00:00,1.6148,1.631,1.55,1.571,23554.72,37156.055747
2017-11-07 00:00:00,1.571,1.6188,1.5389,1.5705,22600.43,35637.376904
2017-11-07 08:00:00,1.59,1.7885,1.5548,1.7353,65084.12,108733.367856
2017-11-07 16:00:00,1.7191,1.8,1.6593,1.8,46445.18,80400.986209
2017-11-08 00:00:00,1.7901,1.99,1.7479,1.8631,88450.17,165195.581279
2017-11-08 08:00:00,1.9448,1.9448,1.821,1.93,49983.2,94076.59494
2017-11-08 16:00:00,1.9249,1.99,1.78,1.9889,208856.89,401916.615293
2017-11-09 00:00:00,1.9781,2.05,1.9,2.0182,59591.26,118091.714302
2017-11-09 08:00:00,2.0182,2.1997,1.9704,2.0711,160094.86,331370.735229
2017-11-09 16:00:00,2.11,2.1302,1.9,1.99,67351.08,136350.376173
2017-11-10 00:00:00,1.99,2.02,1.8923,1.895,101134.41,196984.776584
2017-11-10 08:00:00,1.9459,2.0101,1.6631,1.7723,254161.8,461888.768599
2017-11-10 16:00:00,1.744,1.89,1.6019,1.7133,129362.69,227003.320017
2017-11-11 00:00:00,1.79,1.925,1.79,1.848,92764.77,173889.186558
2017-11-11 08:00:00,1.8023,1.8471,1.58,1.6,133935.98,225711.396701
2017-11-11 16:00:00,1.65,1.7,1.58,1.655,32137.62,52745.18691
2017-11-12 00:00:00,1.6567,1.6567,1.34,1.5302,291655.94,442828.808981
2017-11-12 08:00:00,1.5676,1.7,1.51,1.575,116624.91,187031.24195
2017-11-12 16:00:00,1.575,1.6389,1.45,1.49,48878.87,75042.938708
2017-11-13 00:00:00,1.5,1.65,1.5,1.5933,58028.22,92830.861916
2017-11-13 08:00:00,1.6298,1.7381,1.6,1.6748,80068.17,133767.882302
2017-11-13 16:00:00,1.6741,1.6999,1.6,1.68,28674.34,46997.57897
2017-11-14 00:00:00,1.6801,1.7381,1.65,1.6613,47317.54,79535.557534
2017-11-14 08:00:00,1.6688,1.6688,1.5321,1.5899,96882.65,154042.809452
2017-11-14 16:00:00,1.58,1.6181,1.5553,1.5911,33046.26,52277.108714
2017-11-15 00:00:00,1.5721,1.633,1.5604,1.5968,58674.73,93249.991626
2017-11-15 08:00:00,1.5959,1.6794,1.5001,1.5004,157815.17,244482.637094
2017-11-15 16:00:00,1.5005,1.5678,1.49,1.5532,81148.44,122450.89381
2017-11-16 00:00:00,1.5533,1.6699,1.5499,1.5595,78352.61,125529.328279
2017-11-16 08:00:00,1.57,1.6354,1.511,1.6157,66110.29,105233.191523
2017-11-16 16:00:00,1.6157,1.6299,1.5594,1.5599,53566.76,85191.368238
2017-11-17 00:00:00,1.5599,1.5765,1.4925,1.4925,193522.15,295417.161676
2017-11-17 08:00:00,1.4951,1.5599,1.49,1.545,153326.35,234473.543369
2017-11-17 16:00:00,1.5448,1.5555,1.4912,1.5041,72598.08,110701.675681
2017-11-18 00:00:00,1.5041,1.5899,1.492,1.5632,72412.49,111529.609642
2017-11-18 08:00:00,1.5457,1.5999,1.5327,1.5827,54809.82,86178.542032
2017-11-18 16:00:00,1.5827,1.6699,1.5818,1.6699,44877.55,72545.276262
2017-11-19 00:00:00,1.6524,1.6948,1.58,1.6469,79385.92,131471.322418
2017-11-19 08:00:00,1.6423,1.6945,1.5924,1.609,58320.17,95897.849828
2017-11-19 16:00:00,1.6239,1.65,1.575,1.6,41995.53,67510.29296
2017-11-20 00:00:00,1.6,1.6166,1.5605,1.61,43098.0,68370.129104
2017-11-20 08:00:00,1.61,1.63,1.582,1.6157,57215.65,92129.503644
2017-11-20 16:00:00,1.6157,1.6522,1.6051,1.64,59423.51,96635.470956
2017-11-21 00:00:00,1.6257,1.6419,1.54,1.6,289455.01,455300.517974
2017-11-21 08:00:00,1.6,1.64,1.5801,1.615,89524.45,143751.847081
2017-11-21 16:00:00,1.6098,1.6211,1.57,1.5874,34467.91,54768.58557
2017-11-22 00:00:00,1.5728,1.6115,1.5688,1.5889,49189.66,78080.852715
2017-11-22 08:00:00,1.593,1.6211,1.56,1.5874,98924.1,157129.976793
2017-11-22 16:00:00,1.5874,1.6207,1.5556,1.6158,48343.86,76294.398293
2017-11-23 00:00:00,1.6,1.618,1.56,1.5655,55438.73,87753.030546
2017-11-23 08:00:00,1.5625,1.597,1.544,1.5723,88067.08,137998.147855
2017-11-23 16:00:00,1.56,1.5754,1.5388,1.57,40952.68,63737.592915
2017-11-24 00:00:00,1.5644,1.5976,1.55,1.5786,122958.61,193525.916695
2017-11-24 08:00:00,1.5752,1.8187,1.54,1.6881,413884.49,706618.164946
2017-11-24 16:00:00,1.6881,1.7292,1.64,1.7292,107375.48,180061.245162
2017-11-25 00:00:00,1.712,1.9479,1.68,1.94,232349.77,419419.069055
2017-11-25 08:00:00,1.9282,1.9588,1.68,1.8004,189983.59,340691.381338
2017-11-25 16:00:00,1.7668,1.8888,1.742,1.87,53109.72,96321.999156
2017-11-26 00:00:00,1.85,1.91,1.8307,1.8443,84656.04,158891.472078
2017-11-26 08:00:00,1.8443,1.899,1.8388,1.8635,32947.02,61600.124931
2017-11-26 16:00:00,1.8635,1.9051,1.76,1.8388,76063.2,139264.427909
2017-11-27 00:00:00,1.8388,1.9087,1.7968,1.8123,117580.94,215409.038219
2017-11-27 08:00:00,1.8123,1.8399,1.74,1.808,226563.27,403963.158161
2017-11-27 16:00:00,1.808,1.9532,1.799,1.9532,136551.52,258499.541851
2017-11-28 00:00:00,1.945,1.9532,1.801,1.8897,88967.57,167670.498561
2017-11-28 08:00:00,1.8898,1.9308,1.82,1.8616,189380.37,355359.396385
2017-11-28 16:00:00,1.908,1.925,1.8615,1.9249,81168.0,154518.379498
2017-11-29 00:00:00,1.9248,1.95,1.7883,1.9406,276564.16,523006.326961
2017-11-29 08:00:00,1.9405,2.0486,1.8288,1.9354,190565.07,376868.14937
2017-11-29 16:00:00,1.935,1.9799,1.55,1.7565,468610.02,834218.922201
2017-11-30 00:00:00,1.7641,2.038,1.7303,1.8793,349928.98,678218.863035
2017-11-30 08:00:00,1.8793,1.948,1.75,1.7943,208962.43,387701.442203
2017-11-30 16:00:00,1.7943,1.95,1.71,1.95,189226.65,344898.136725
2017-12-01 00:00:00,1.95,2.01,1.8801,1.9698,85401.84,166899.592656
2017-12-01 08:00:00,1.96,2.1385,1.96,2.0498,149707.82,308865.697114
2017-12-01 16:00:00,2.0498,2.0993,1.9845,2.0527,86346.62,174418.061676
2017-12-02 00:00:00,2.0526,2.1199,2.0033,2.06,116433.95,240412.65733
2017-12-02 08:00:00,2.0826,2.0965,1.975,2.0,102011.03,208854.377749
2017-12-02 16:00:00,2.0,2.0798,1.9922,2.0797,22705.7,46520.733526
2017-12-03 00:00:00,2.0797,2.1111,2.0438,2.1111,66767.83,139455.922664
2017-12-03 08:00:00,2.1111,2.4,2.079,2.2835,134050.34,295812.467974
2017-12-03 16:00:00,2.2835,2.39,2.13,2.2617,145188.43,329466.243471
2017-12-04 00:00:00,2.2617,2.5898,2.2617,2.549,185732.52,459507.360858
2017-12-04 08:00:00,2.5396,2.54,2.3285,2.4438,129895.23,316705.346242
2017-12-04 16:00:00,2.4437,2.55,2.3733,2.55,69330.74,169113.665768
2017-12-05 00:00:00,2.5305,2.75,2.5,2.6,261543.37,694496.709088
2017-12-05 08:00:00,2.6001,2.67,2.52,2.5703,93028.0,239931.775017
2017-12-05 16:00:00,2.5597,2.6261,2.518,2.612,74084.1,191409.862338
2017-12-06 00:00:00,2.6,2.8,2.52,2.56,136968.08,366192.088466
2017-12-06 08:00:00,2.58,2.6203,2.3655,2.3655,163041.43,409780.95059
2017-12-06 16:00:00,2.4264,2.5499,2.3272,2.5134,79326.12,194978.856158
2017-12-07 00:00:00,2.5393,2.5799,2.4001,2.5514,147213.09,370706.255385
2017-12-07 08:00:00,2.559,2.84,2.53,2.61,280487.2,763740.739932
2017-12-07 16:00:00,2.61,2.7233,2.44,2.6625,105810.16,271901.830822
