Fecha,Abre,Alto,Bajo,Cierra,Volumen
2021-05-10 08:00:00,1.412e-05,5e-05,1.412e-05,2.92e-05,46027240852204.0
2021-05-10 16:00:00,2.92e-05,3.924e-05,2.404e-05,3.466e-05,49275071065464.0
2021-05-11 00:00:00,3.468e-05,3.799e-05,2.978e-05,3.116e-05,25965762177416.0
2021-05-11 08:00:00,3.118e-05,3.529e-05,2.78e-05,3.033e-05,24292635583191.0
2021-05-11 16:00:00,3.032e-05,3.48e-05,3.024e-05,3.042e-05,14254388177875.0
2021-05-12 00:00:00,3.04e-05,3.149e-05,2.505e-05,2.872e-05,22702458184872.0
2021-05-12 08:00:00,2.872e-05,3.15e-05,2.611e-05,2.693e-05,15576312160235.0
2021-05-12 16:00:00,2.692e-05,2.694e-05,1.752e-05,1.821e-05,48630374613658.0
2021-05-13 00:00:00,1.817e-05,2.357e-05,1.53e-05,1.929e-05,26934533082316.0
2021-05-13 08:00:00,1.929e-05,2.195e-05,1.534e-05,1.869e-05,35679404751870.0
2021-05-13 16:00:00,1.87e-05,2.3e-05,1.753e-05,2.102e-05,28640943171562.0
2021-05-14 00:00:00,2.103e-05,2.224e-05,1.951e-05,2.107e-05,17108645622968.0
2021-05-14 08:00:00,2.107e-05,2.107e-05,1.954e-05,2.039e-05,11359760799215.0
2021-05-14 16:00:00,2.04e-05,2.059e-05,1.816e-05,1.84e-05,12459447854392.0
2021-05-15 00:00:00,1.841e-05,1.897e-05,1.7e-05,1.778e-05,12122779359123.0
2021-05-15 08:00:00,1.778e-05,1.81e-05,1.604e-05,1.644e-05,11389940079025.0
2021-05-15 16:00:00,1.645e-05,1.754e-05,1.501e-05,1.553e-05,20214556093813.0
2021-05-16 00:00:00,1.552e-05,1.692e-05,1.521e-05,1.614e-05,8004936390233.0
2021-05-16 08:00:00,1.615e-05,1.645e-05,1.522e-05,1.534e-05,8229260809396.0
2021-05-16 16:00:00,1.534e-05,1.962e-05,1.237e-05,1.784e-05,45400555461067.0
2021-05-17 00:00:00,1.783e-05,1.785e-05,1.408e-05,1.643e-05,26392928243924.0
2021-05-17 08:00:00,1.644e-05,1.7e-05,1.514e-05,1.561e-05,13178596857901.0
2021-05-17 16:00:00,1.561e-05,1.808e-05,1.459e-05,1.651e-05,20585297014160.0
2021-05-18 00:00:00,1.65e-05,1.8e-05,1.626e-05,1.719e-05,8400844168268.0
2021-05-18 08:00:00,1.72e-05,1.734e-05,1.546e-05,1.586e-05,11477981716534.0
2021-05-18 16:00:00,1.585e-05,1.651e-05,1.517e-05,1.56e-05,8097786556187.0
2021-05-19 00:00:00,1.562e-05,1.58e-05,1.203e-05,1.332e-05,21331064551553.0
2021-05-19 08:00:00,1.332e-05,1.362e-05,6.3e-06,1.163e-05,41617920886768.0
2021-05-19 16:00:00,1.161e-05,1.269e-05,9.05e-06,9.07e-06,27590315569003.0
2021-05-20 00:00:00,9.07e-06,1.133e-05,8e-06,1.063e-05,24361981059278.0
