Fecha,Abre,Alto,Bajo,Cierra,Market_Cap,Volumen
2023-08-17 03:00:00,4.69,4.7,4.69,4.7,5936575166.750666,130323973.01882061
2023-08-17 03:30:00,4.7,4.71,4.7,4.71,5956398745.73838,128298850.02630506
2023-08-17 04:00:00,4.71,4.71,4.71,4.71,5964472723.360277,128478078.68707626
2023-08-17 04:30:00,4.71,4.77,4.71,4.77,6005452227.910872,144322023.08290786
2023-08-17 05:00:00,4.78,4.78,4.75,4.75,6019891546.521335,149516004.6644097
2023-08-17 05:30:00,4.75,4.75,4.75,4.75,6017722965.241672,148605852.74036232
2023-08-17 06:00:00,4.76,4.8,4.76,4.8,6065555354.931492,149399807.9971834
2023-08-17 06:30:00,4.8,4.8,4.76,4.76,6020291247.677348,150362221.8630593
2023-08-17 07:00:00,4.75,4.75,4.75,4.75,6008661991.313812,149944527.947063
2023-08-17 07:30:00,4.74,4.75,4.73,4.74,5989244722.550616,149827596.26738712
2023-08-17 08:00:00,4.74,4.75,4.74,4.75,6000856406.369455,150959205.6164732
2023-08-17 08:30:00,4.75,4.75,4.75,4.75,6008353571.7370205,149925975.5080417
2023-08-17 09:00:00,4.74,4.75,4.74,4.74,6004393981.83946,150084362.2685548
2023-08-17 09:30:00,4.74,4.76,4.74,4.76,5999914980.520324,156024690.3024851
2023-08-17 10:00:00,4.75,4.77,4.75,4.77,6036523772.531875,153178425.92068663
2023-08-17 10:30:00,4.78,4.78,4.77,4.77,6035825463.7856455,154178071.76319236
2023-08-17 11:00:00,4.77,4.77,4.77,4.77,6030014505.663423,155727603.7107756
2023-08-17 11:30:00,4.77,4.78,4.77,4.77,6029987430.627041,154518324.0863347
2023-08-17 12:00:00,4.76,4.77,4.76,4.76,6027209928.748001,155776583.29938376
2023-08-17 12:30:00,4.76,4.78,4.76,4.78,6039147468.276489,153770651.31413257
2023-08-17 13:00:00,4.79,4.79,4.78,4.78,6048458886.577568,152025002.8565238
2023-08-17 13:30:00,4.77,4.78,4.77,4.78,6049510386.940618,148630545.3318341
2023-08-17 14:00:00,4.78,4.78,4.77,4.77,6036121073.96733,148930934.98855445
2023-08-17 14:30:00,4.76,4.76,4.75,4.75,6011792616.643268,148175768.5996783
2023-08-17 15:00:00,4.74,4.74,4.73,4.73,5983515133.204192,149592322.84594733
2023-08-17 15:30:00,4.73,4.74,4.73,4.74,5992830378.964819,151486920.87119097
2023-08-17 16:00:00,4.73,4.73,4.68,4.68,5920733014.280824,159379017.23129112
2023-08-17 16:30:00,4.67,4.67,4.65,4.65,5880407170.855923,162469099.84292367
2023-08-17 17:00:00,4.66,4.7,4.66,4.7,5943260337.8246975,165048004.88836586
2023-08-17 17:30:00,4.69,4.72,4.69,4.72,5973823549.402476,165346904.9161557
2023-08-17 18:00:00,4.71,4.72,4.7,4.7,5948946857.312302,165905076.38522345
2023-08-17 18:30:00,4.71,4.71,4.7,4.7,5956640134.239465,164887846.733127
2023-08-17 19:00:00,4.7,4.7,4.68,4.69,5934020912.716709,166024514.12830082
2023-08-17 19:30:00,4.69,4.7,4.69,4.69,5944773999.340928,165975144.37762043
2023-08-17 20:00:00,4.7,4.7,4.7,4.7,5946138173.59101,163724217.10231408
2023-08-17 20:30:00,4.7,4.7,4.69,4.69,5939190187.259846,161973031.5479146
2023-08-17 21:00:00,4.69,4.69,4.66,4.66,5903061788.352337,155575628.28035122
2023-08-17 21:30:00,4.66,4.66,4.62,4.65,5864066072.630917,151400540.18710217
2023-08-17 22:00:00,4.64,4.64,4.33,4.34,5486867661.764385,165829343.9098173
2023-08-17 22:30:00,4.34,4.41,4.34,4.4,5569196630.690572,184754648.9175774
2023-08-17 23:00:00,4.42,4.42,4.38,4.4,5568387441.61772,197119237.65239307
2023-08-17 23:30:00,4.43,4.49,4.43,4.47,5668349327.551874,203099219.2481742
2023-08-18 00:00:00,4.46,4.46,4.42,4.42,5608623820.335605,205499494.2711018
2023-08-18 00:30:00,4.44,4.46,4.44,4.45,5635839557.6285925,210198643.9829755
2023-08-18 01:00:00,4.46,4.46,4.44,4.45,5630469355.869881,210215299.12421924
2023-08-18 01:30:00,4.46,4.46,4.44,4.44,5613785689.201214,210374428.22327113
2023-08-18 02:00:00,4.44,4.44,4.41,4.41,5601518209.785571,214180318.76683077
2023-08-18 02:30:00,4.41,4.42,4.4,4.41,5601144396.083688,216933935.67829895
2023-08-18 03:00:00,4.4,4.4,4.39,4.4,,
