Fecha,Abre,Alto,Bajo,Cierra,Market_Cap,Volumen
2023-08-17 03:00:00,1795.68,1795.68,1795.68,1795.68,215862123857.0567,6534085780.219528
2023-08-17 03:30:00,1794.54,1795.85,1794.44,1795.85,215687804208.03848,7689470037.3706455
2023-08-17 04:00:00,1796.12,1798.74,1796.12,1796.82,216088855749.52972,6663873211.496181
2023-08-17 04:30:00,1796.93,1797.45,1796.33,1797.45,215934546759.64798,7705867098.5090885
2023-08-17 05:00:00,1798.11,1798.11,1795.14,1796.47,215865497555.45282,6592148856.06956
2023-08-17 05:30:00,1796.64,1797.69,1796.64,1797.35,216004469336.43314,7617293533.766398
2023-08-17 06:00:00,1797.5,1799.6,1797.5,1799.54,216198212781.26117,7436948694.709429
2023-08-17 06:30:00,1800.69,1800.69,1798.63,1799.1,216090063972.65573,7281165327.679926
2023-08-17 07:00:00,1799.44,1800.54,1798.38,1800.54,216295278291.72403,5595765042.616672
2023-08-17 07:30:00,1800.45,1800.46,1797.96,1798.3,216012089754.38455,7066595637.50063
2023-08-17 08:00:00,1797.99,1797.99,1796.21,1796.93,215804540934.0535,5371302598.801433
2023-08-17 08:30:00,1797.19,1797.2,1795.65,1795.65,215818994479.75262,6217084199.200197
2023-08-17 09:00:00,1795.55,1795.76,1794.19,1794.35,215546490018.12296,7200724630.765134
2023-08-17 09:30:00,1792.89,1793.32,1789.66,1792.48,215057528071.8947,6422367479.63364
2023-08-17 10:00:00,1789.9,1792.74,1789.9,1790.91,215096446335.56107,7353164868.842128
2023-08-17 10:30:00,1791.09,1791.09,1789.99,1791.0,215162675066.29764,7264077529.168757
2023-08-17 11:00:00,1791.08,1791.47,1786.64,1786.64,214894230096.74414,6591611734.23552
2023-08-17 11:30:00,1786.71,1786.71,1784.42,1784.55,214357147895.0681,5750074870.838705
2023-08-17 12:00:00,1783.12,1787.26,1783.12,1786.99,214718485782.02396,6698189771.515603
2023-08-17 12:30:00,1786.75,1787.01,1783.91,1783.91,214321031118.3506,6864891147.977844
2023-08-17 13:00:00,1786.62,1789.84,1786.62,1789.75,215037924431.89072,6754749990.878384
2023-08-17 13:30:00,1788.55,1790.59,1786.3,1790.59,214673679977.10446,7708418909.2642765
2023-08-17 14:00:00,1789.62,1789.62,1785.11,1785.11,214587499432.9848,5703562722.535462
2023-08-17 14:30:00,1783.09,1786.26,1782.89,1782.93,214275004770.29538,7715853610.867221
2023-08-17 15:00:00,1782.63,1782.63,1776.93,1776.93,213552802007.53543,7851042223.874418
2023-08-17 15:30:00,1776.43,1776.43,1771.77,1771.77,212741580420.95688,8493230308.649754
2023-08-17 16:00:00,1768.38,1768.38,1735.24,1739.84,208809310215.42548,8681794765.094727
2023-08-17 16:30:00,1733.56,1737.37,1728.8,1732.56,207943366676.8648,11045141483.317888
2023-08-17 17:00:00,1733.82,1745.87,1733.82,1743.75,209393640492.3312,11397713662.3424
2023-08-17 17:30:00,1740.55,1744.21,1740.38,1741.48,209266476002.85886,10143580773.630968
2023-08-17 18:00:00,1740.85,1742.1,1737.4,1738.23,208730377791.50983,11556237846.03477
2023-08-17 18:30:00,1739.63,1740.45,1738.81,1739.15,209019449258.10925,11494945458.3429
2023-08-17 19:00:00,1739.2,1739.2,1734.13,1734.74,208396114670.87555,11660656906.99858
2023-08-17 19:30:00,1734.02,1735.9,1734.02,1734.62,208543370719.03162,11550199934.077877
2023-08-17 20:00:00,1738.23,1739.74,1737.15,1737.15,208746074472.17212,11651029596.719704
2023-08-17 20:30:00,1736.98,1736.98,1734.27,1734.27,208329174812.38596,11530159807.970592
2023-08-17 21:00:00,1734.43,1734.43,1721.87,1721.87,207415151286.14395,9804810708.542782
2023-08-17 21:30:00,1717.41,1718.02,1712.56,1717.08,206022832554.3756,11781288761.592957
2023-08-17 22:00:00,1717.3,1717.3,1576.13,1597.37,189454203379.71533,8968336907.279459
2023-08-17 22:30:00,1615.06,1629.19,1612.32,1629.19,195001584230.4205,15898994746.071047
2023-08-17 23:00:00,1637.85,1643.44,1637.85,1642.31,197418177213.78848,18233865011.291504
2023-08-17 23:30:00,1667.97,1712.66,1667.97,1700.5,204964773607.1526,17712068413.628674
2023-08-18 00:00:00,1695.14,1695.14,1675.86,1675.86,201482976932.07773,20938620290.009098
2023-08-18 00:30:00,1683.04,1693.57,1681.18,1693.57,203500828313.26215,15102645801.573513
2023-08-18 01:00:00,1695.53,1695.53,1687.17,1687.17,202761629577.0976,19356446314.08559
2023-08-18 01:30:00,1690.52,1690.91,1685.2,1685.87,202453248104.78485,19516543249.091717
2023-08-18 02:00:00,1686.75,1689.67,1685.66,1685.66,202903984476.69498,22614815922.420853
2023-08-18 02:30:00,1689.04,1693.63,1688.71,1692.1,203502514205.4649,22457958578.181232
2023-08-18 03:00:00,1690.23,1690.23,1683.52,1683.52,,
