Fecha,Abre,Alto,Bajo,Cierra,Market_Cap,Volumen
2023-08-17 03:00:00,75.08,75.08,75.08,75.08,5526460898.795372,1025566844.1063457
2023-08-17 03:30:00,75.06,75.17,75.04,75.17,5523669051.648251,1003786911.9715292
2023-08-17 04:00:00,75.15,75.24,75.14,75.14,5533391428.830587,1004546788.8916095
2023-08-17 04:30:00,75.09,75.15,75.06,75.15,5526753387.287032,1006951290.8901734
2023-08-17 05:00:00,75.19,75.19,75.07,75.18,5528376552.494872,1031034861.6883515
2023-08-17 05:30:00,75.19,75.27,75.19,75.27,5537067424.472044,1030946318.0184048
2023-08-17 06:00:00,75.28,75.51,75.28,75.51,5549861908.3877325,1025973331.166618
2023-08-17 06:30:00,75.57,75.69,75.54,75.55,5557105591.918464,1013923031.7123365
2023-08-17 07:00:00,75.56,75.56,75.48,75.5,5552928818.542579,1020974518.2221373
2023-08-17 07:30:00,75.5,75.5,75.29,75.31,5537417580.38677,984438056.6445956
2023-08-17 08:00:00,75.3,75.38,75.25,75.3,5535039101.124653,1022167096.5422469
2023-08-17 08:30:00,75.33,75.43,75.33,75.38,5542639516.767467,999084568.2975365
2023-08-17 09:00:00,75.37,75.37,75.3,75.32,5540876265.117267,998087511.6991035
2023-08-17 09:30:00,75.26,75.37,75.17,75.37,5532377549.213743,1006757367.431158
2023-08-17 10:00:00,75.31,75.4,75.22,75.22,5536365580.663764,1008055482.6174428
2023-08-17 10:30:00,75.24,75.25,75.05,75.09,5522904269.375462,1008960849.0539569
2023-08-17 11:00:00,75.05,75.11,74.92,74.92,5515990616.611008,1054680044.5848339
2023-08-17 11:30:00,74.96,75.06,74.93,75.06,5512619169.247469,1015007369.2725235
2023-08-17 12:00:00,74.96,75.13,74.96,75.1,5526072612.005449,1018131563.379574
2023-08-17 12:30:00,75.09,75.14,74.98,74.98,5518605175.665574,1012764826.226327
2023-08-17 13:00:00,75.08,75.36,75.08,75.36,5541061984.480509,1020380967.5381846
2023-08-17 13:30:00,75.33,75.53,75.22,75.53,5543885249.031914,980163774.3576924
2023-08-17 14:00:00,75.5,75.51,75.23,75.23,5537838753.167997,1004681354.6650878
2023-08-17 14:30:00,75.15,75.29,75.09,75.09,5526945074.455071,965633284.6051643
2023-08-17 15:00:00,75.05,75.05,74.55,74.6,5490923966.003603,1011386739.0223713
2023-08-17 15:30:00,74.48,74.77,74.48,74.73,5493281035.326951,1024663314.8429245
2023-08-17 16:00:00,74.56,74.56,73.47,73.47,5382708371.601899,1044349169.745585
2023-08-17 16:30:00,73.2,73.21,72.81,72.9,5361936033.596453,975183577.9772645
2023-08-17 17:00:00,72.94,73.89,72.94,73.78,5425858777.33962,948101078.0246894
2023-08-17 17:30:00,73.64,74.19,73.64,74.14,5457868344.501975,949045032.5056217
2023-08-17 18:00:00,74.08,74.25,74.08,74.24,5454581471.137905,983404750.6209221
2023-08-17 18:30:00,74.29,74.48,74.29,74.47,5481199028.446587,976125228.9272004
2023-08-17 19:00:00,74.48,74.48,74.37,74.44,5474120592.141629,933461600.3454785
2023-08-17 19:30:00,74.41,74.54,74.41,74.52,5483036583.414287,933613640.6624093
2023-08-17 20:00:00,74.64,74.68,74.48,74.48,5480703408.462262,969316574.8093697
2023-08-17 20:30:00,74.41,74.41,74.3,74.3,5465318746.505584,913062532.1705832
2023-08-17 21:00:00,74.27,74.27,73.94,73.94,5445173712.884761,809179606.8115522
2023-08-17 21:30:00,73.89,73.91,73.51,73.64,5410944094.465019,777786890.9210675
2023-08-17 22:00:00,73.28,73.28,61.43,62.33,4545915143.706194,647978369.1299117
2023-08-17 22:30:00,63.09,63.29,62.33,63.29,4631818529.145115,936362020.4201565
2023-08-17 23:00:00,63.74,64.02,63.74,63.87,4708093219.154018,1137068387.8296337
2023-08-17 23:30:00,64.51,65.82,64.51,65.29,4839582806.23359,1115667392.4004092
2023-08-18 00:00:00,65.11,65.11,64.66,64.66,4758040580.856329,1139074930.7303767
2023-08-18 00:30:00,64.97,65.39,64.89,65.39,4810834834.066999,1161502273.969086
2023-08-18 01:00:00,65.5,65.5,65.32,65.32,4809043830.045204,1244800991.8511765
2023-08-18 01:30:00,65.5,65.51,65.25,65.26,4797836373.523209,1151370474.2223237
2023-08-18 02:00:00,65.32,65.55,65.25,65.25,4799168965.407652,1163763624.844154
2023-08-18 02:30:00,65.25,65.56,65.25,65.36,4822938023.557704,1267128072.520049
2023-08-18 03:00:00,65.18,65.18,64.39,64.44,,
