Fecha,Abre,Alto,Bajo,Cierra,Market_Cap,Volumen
2023-08-17 03:00:00,9.18e-06,9.18e-06,9.18e-06,9.18e-06,5424411915.35004,420297288.2371017
2023-08-17 03:30:00,9.18e-06,9.25e-06,9.18e-06,9.25e-06,5447519027.308232,446221483.53792787
2023-08-17 04:00:00,9.29e-06,9.3e-06,9.26e-06,9.26e-06,5473143587.83968,449148528.08764756
2023-08-17 04:30:00,9.25e-06,9.25e-06,9.23e-06,9.25e-06,5448620809.489725,447750747.14523655
2023-08-17 05:00:00,9.25e-06,9.29e-06,9.24e-06,9.29e-06,5470672434.297802,450265207.85660225
2023-08-17 05:30:00,9.28e-06,9.31e-06,9.27e-06,9.31e-06,5489013981.341005,437567249.615652
2023-08-17 06:00:00,9.32e-06,9.32e-06,9.3e-06,9.31e-06,5484328131.723854,429535364.53123516
2023-08-17 06:30:00,9.32e-06,9.32e-06,9.28e-06,9.29e-06,5469289794.757801,419556313.1284196
2023-08-17 07:00:00,9.26e-06,9.26e-06,9.24e-06,9.24e-06,5447798123.869775,435011730.206902
2023-08-17 07:30:00,9.26e-06,9.29e-06,9.24e-06,9.24e-06,5453351984.700083,434304007.37590057
2023-08-17 08:00:00,9.2e-06,9.2e-06,9.18e-06,9.19e-06,5409167234.476439,433809033.28684133
2023-08-17 08:30:00,9.17e-06,9.19e-06,9.14e-06,9.14e-06,5396129769.156741,435419199.59624153
2023-08-17 09:00:00,9.15e-06,9.15e-06,9.11e-06,9.11e-06,5367977907.9664755,440330068.4552119
2023-08-17 09:30:00,9.08e-06,9.09e-06,9.06e-06,9.09e-06,5350286005.660967,446674899.2626498
2023-08-17 10:00:00,9.07e-06,9.1e-06,9.07e-06,9.09e-06,5354527809.784151,449290345.64231765
2023-08-17 10:30:00,9.08e-06,9.08e-06,9.04e-06,9.06e-06,5342970864.98659,443110610.96928865
2023-08-17 11:00:00,9.07e-06,9.07e-06,8.99e-06,8.99e-06,5307862501.920168,455120385.21837455
2023-08-17 11:30:00,8.99e-06,9e-06,8.85e-06,8.88e-06,5212763358.409835,462990321.66481227
2023-08-17 12:00:00,8.85e-06,8.87e-06,8.8e-06,8.8e-06,5196582585.144219,458102801.34178656
2023-08-17 12:30:00,8.8e-06,8.87e-06,8.8e-06,8.85e-06,5227799915.103789,455408409.4756694
2023-08-17 13:00:00,8.87e-06,8.91e-06,8.87e-06,8.9e-06,5245334476.592249,449718539.79911786
2023-08-17 13:30:00,8.88e-06,8.9e-06,8.88e-06,8.89e-06,5239980812.452323,436485030.84646094
2023-08-17 14:00:00,8.89e-06,8.89e-06,8.8e-06,8.8e-06,5196241211.735304,436110551.77509683
2023-08-17 14:30:00,8.79e-06,8.79e-06,8.7e-06,8.7e-06,5124727741.312642,436700130.9791328
2023-08-17 15:00:00,8.68e-06,8.68e-06,8.53e-06,8.56e-06,5025959265.950616,451454846.28698105
2023-08-17 15:30:00,8.54e-06,8.65e-06,8.54e-06,8.61e-06,5070977814.883066,464568886.1246721
2023-08-17 16:00:00,8.6e-06,8.6e-06,8.54e-06,8.56e-06,5050206429.844478,475805412.8951642
2023-08-17 16:30:00,8.54e-06,8.6e-06,8.52e-06,8.57e-06,5062091752.661543,457663406.3357905
2023-08-17 17:00:00,8.56e-06,8.62e-06,8.56e-06,8.61e-06,5076396059.86211,489258548.8181625
2023-08-17 17:30:00,8.6e-06,8.65e-06,8.6e-06,8.64e-06,5096857535.461115,491588054.7673255
2023-08-17 18:00:00,8.64e-06,8.67e-06,8.64e-06,8.64e-06,5096157647.854561,468649423.54741246
2023-08-17 18:30:00,8.66e-06,8.75e-06,8.66e-06,8.72e-06,5143234400.665423,491504841.8237574
2023-08-17 19:00:00,8.71e-06,8.71e-06,8.67e-06,8.7e-06,5123350381.04609,472759210.45286024
2023-08-17 19:30:00,8.72e-06,8.76e-06,8.72e-06,8.74e-06,5155351147.484811,466730504.06254745
2023-08-17 20:00:00,8.76e-06,8.76e-06,8.72e-06,8.72e-06,5146056584.067078,484066741.07802993
2023-08-17 20:30:00,8.71e-06,8.71e-06,8.66e-06,8.66e-06,5104828227.367075,489609247.98381823
2023-08-17 21:00:00,8.65e-06,8.65e-06,8.57e-06,8.57e-06,5056421601.483378,459422199.7758859
2023-08-17 21:30:00,8.57e-06,8.58e-06,8.49e-06,8.49e-06,5031251860.508421,452949066.5592295
2023-08-17 22:00:00,8.48e-06,8.48e-06,7.74e-06,7.84e-06,4603368379.681508,444150185.4607422
2023-08-17 22:30:00,7.91e-06,7.92e-06,7.84e-06,7.92e-06,4654701907.309971,490974884.55962634
2023-08-17 23:00:00,7.98e-06,7.99e-06,7.95e-06,7.95e-06,4680491748.847462,499220138.04622144
2023-08-17 23:30:00,8.05e-06,8.29e-06,8.05e-06,8.2e-06,4857075655.5342455,514847933.59254795
2023-08-18 00:00:00,8.16e-06,8.16e-06,8.09e-06,8.11e-06,4779530893.140646,493797828.04716545
2023-08-18 00:30:00,8.14e-06,8.21e-06,8.13e-06,8.15e-06,4804823211.595586,480031709.16829324
2023-08-18 01:00:00,8.14e-06,8.14e-06,8.07e-06,8.07e-06,4762404237.057398,481755533.32787853
2023-08-18 01:30:00,8.12e-06,8.12e-06,8.07e-06,8.1e-06,4758573546.816985,457503648.7777267
2023-08-18 02:00:00,8.09e-06,8.13e-06,8.09e-06,8.1e-06,4789394974.460014,473269478.94264984
2023-08-18 02:30:00,8.12e-06,8.18e-06,8.12e-06,8.14e-06,4822367748.444473,486605122.68546283
2023-08-18 03:00:00,8.15e-06,8.15e-06,8.13e-06,8.13e-06,,
