Fecha,Abre,Alto,Bajo,Cierra,Market_Cap,Volumen
2023-08-17 02:30:00,23.2,23.22,23.2,23.22,9450843984.65318,498721129.5538281
2023-08-17 03:00:00,23.28,23.3,23.26,23.27,9482073298.892323,484728820.9071456
2023-08-17 03:30:00,23.27,23.32,23.27,23.32,9490841844.879354,486201708.1501333
2023-08-17 04:00:00,23.32,23.37,23.32,23.32,9511929991.255753,485548843.0008875
2023-08-17 04:30:00,23.3,23.3,23.25,23.29,9484169134.03824,481169752.7894379
2023-08-17 05:00:00,23.25,23.27,23.23,23.23,9473992706.081488,474921871.47252274
2023-08-17 05:30:00,23.24,23.24,23.2,23.22,9461863530.554176,467794733.8111129
2023-08-17 06:00:00,23.24,23.27,23.24,23.27,9475736487.472979,463265092.74160004
2023-08-17 06:30:00,23.32,23.32,23.27,23.27,9477776904.599466,460362391.73120564
2023-08-17 07:00:00,23.27,23.27,23.21,23.23,9458336938.266102,455070602.27558666
2023-08-17 07:30:00,23.24,23.24,23.19,23.22,9445900187.111675,448324715.7068971
2023-08-17 08:00:00,23.23,23.25,23.2,23.22,9455199129.71382,441496134.65379435
2023-08-17 08:30:00,23.22,23.25,23.2,23.2,9454136923.154434,436246242.3457239
2023-08-17 09:00:00,23.19,23.21,23.14,23.14,9433627642.232632,437205508.539058
2023-08-17 09:30:00,23.1,23.14,23.07,23.14,9406417572.985685,436369183.07789737
2023-08-17 10:00:00,23.09,23.15,23.09,23.13,9426634501.638597,430843510.3316974
2023-08-17 10:30:00,23.12,23.15,23.12,23.14,9420521517.974567,427999336.45994467
2023-08-17 11:00:00,23.12,23.15,23.01,23.01,9394647250.453445,431620976.8951589
2023-08-17 11:30:00,23.03,23.05,23.0,23.0,9377074391.225903,426736905.9714149
2023-08-17 12:00:00,23.04,23.09,23.04,23.06,9399718947.226892,427337586.1697319
2023-08-17 12:30:00,23.06,23.1,23.03,23.07,9409841870.250948,423648958.3304785
2023-08-17 13:00:00,23.13,23.27,23.13,23.27,9476055893.437414,416976692.5574443
2023-08-17 13:30:00,23.24,23.34,23.22,23.34,9476285210.103725,409857642.3322843
2023-08-17 14:00:00,23.32,23.34,23.22,23.22,9473603938.649035,406317106.67524827
2023-08-17 14:30:00,23.17,23.2,23.13,23.16,9438441631.54413,401613934.8834544
2023-08-17 15:00:00,23.15,23.15,23.02,23.03,9375565328.429895,409330558.6206237
2023-08-17 15:30:00,23.02,23.24,23.02,23.17,9428739601.933739,428693560.8187406
2023-08-17 16:00:00,23.1,23.1,22.75,22.88,9293851658.744612,478295462.0919513
2023-08-17 16:30:00,22.85,22.85,22.72,22.75,9284552762.067171,464929401.7682138
2023-08-17 17:00:00,22.8,23.13,22.8,23.05,9380929490.338808,474098874.185848
2023-08-17 17:30:00,23.01,23.12,23.01,23.07,9407882886.092215,482498063.6691177
2023-08-17 18:00:00,23.04,23.08,23.04,23.08,9391468783.478903,482000333.9791549
2023-08-17 18:30:00,23.14,23.22,23.11,23.22,9433771719.791466,475587393.7711044
2023-08-17 19:00:00,23.19,23.21,23.17,23.2,9445591305.037634,469276707.95257825
2023-08-17 19:30:00,23.17,23.17,23.11,23.11,9425948328.947876,468073221.32446474
2023-08-17 20:00:00,23.14,23.15,23.08,23.08,9404495779.552017,469283051.2762971
2023-08-17 20:30:00,23.08,23.08,23.0,23.0,9366251006.929245,459746773.8027115
2023-08-17 21:00:00,22.97,22.97,22.72,22.72,9276464264.281199,439479807.6424035
2023-08-17 21:30:00,22.72,22.73,22.63,22.68,9214940286.888166,451512564.84386873
2023-08-17 22:00:00,22.62,22.62,20.89,21.27,8549714368.734462,524046381.053678
2023-08-17 22:30:00,21.27,21.3,21.07,21.3,8638371307.73081,587452236.518963
2023-08-17 23:00:00,21.46,21.64,21.37,21.64,8726056310.986732,632409297.5561773
2023-08-17 23:30:00,21.96,22.03,21.91,21.93,8951952075.863905,659662991.0203974
2023-08-18 00:00:00,21.91,21.91,21.65,21.65,8833375790.376423,660131591.5150985
2023-08-18 00:30:00,21.74,21.88,21.74,21.88,8923231590.252169,666814395.6862428
2023-08-18 01:00:00,21.94,21.94,21.83,21.85,8893652906.999092,662561796.3474587
2023-08-18 01:30:00,21.93,21.93,21.71,21.73,8838681079.880243,650667384.0958456
2023-08-18 02:00:00,21.79,21.88,21.75,21.75,8885717715.7502,650432619.2103418
2023-08-18 02:30:00,21.79,21.86,21.78,21.86,,
